inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
uf20-01000;822;918;1000;230.993;190.995;1031.99;559.995;3.85804;1.58829;4.32123;1.04156;39;B
uf20-0100;988;1000;1000;91.853;86.588;145.853;86.588;3.93473;1.08624;4.13094;0.726254;89;B
uf20-0101;992;994;1000;92.46;117.984;128.46;144.984;3.95602;1.12704;4.36121;0.856696;475;B
uf20-0102;704;936;1000;276.564;177.212;1608.56;465.212;3.31514;2.39103;4.37982;0.933089;41;B
uf20-0103;870;844;1000;215.387;223.64;800.387;925.64;4.08442;1.40465;4.02724;1.2726;177;A
uf20-0104;931;981;1000;99.039;92.511;409.539;178.011;3.0673;1.62562;3.70191;1.34573;136;B
uf20-0105;835;767;1000;206.604;251.818;949.104;1300.32;3.74726;1.549;3.65328;1.76877;3;A
uf20-0106;645;830;1000;284.976;239.437;1882.48;1004.44;2.97227;2.57002;4.06346;1.28848;116;B
uf20-0107;963;936;1000;135.998;164.579;302.498;452.579;4.1808;1.08634;4.29163;0.905676;4;A
uf20-0108;994;995;1000;89.984;102.12;116.984;124.62;3.92733;1.19477;4.19194;0.903073;490;B
uf20-0109;890;953;1000;202.645;160.117;697.645;371.617;4.1666;1.27858;4.36735;0.958581;29;B
uf20-010;981;998;1000;94.765;80.484;180.265;89.484;3.69087;1.49491;3.92241;0.974648;81;B
uf20-0110;1000;1000;1000;26.266;31.916;26.266;31.916;2.8131;0.783323;3.18184;0.601703;77;B
uf20-0111;999;1000;1000;53.107;54.956;57.607;54.956;3.49992;0.994953;3.67426;0.711017;280;B
uf20-0112;901;935;1000;158.543;176.444;604.043;468.944;3.75121;1.57527;4.30804;1.1222;327;B
uf20-0113;798;816;1000;227.793;227.04;1136.79;1055.04;3.61308;1.80539;3.8117;1.51545;165;B
uf20-0114;995;999;1000;69.732;63.104;92.232;67.604;3.64048;1.1559;3.72062;0.87862;64;B
uf20-0115;939;989;1000;137.448;109.483;411.948;158.983;3.84908;1.5177;4.13348;1.15362;72;B
uf20-0116;917;989;1000;134.082;124.361;507.582;173.861;3.65366;1.38701;4.30383;1.01953;172;B
uf20-0117;864;921;1000;210.888;180.112;822.888;535.612;4.04852;1.32995;4.24047;1.09074;19;B
uf20-0118;1000;1000;1000;29.741;35.995;29.741;35.995;2.94137;0.787185;3.28087;0.618141;88;B
uf20-0119;509;694;1000;322.688;281.204;2532.19;1658.2;2.20258;3.21189;3.31826;2.30464;106;B
uf20-011;1000;1000;1000;42.244;48.049;42.244;48.049;3.21476;0.9677;3.51499;0.778527;118;B
uf20-0120;932;992;1000;131.164;95.958;437.164;131.958;3.71978;1.52448;4.01387;1.13869;56;B
uf20-0121;993;998;1000;76.606;75.338;108.106;84.338;3.65716;1.26762;3.8519;0.976037;128;B
uf20-0122;682;929;1000;264.037;158.519;1695.04;478.019;3.03999;2.43514;4.13794;1.05094;34;B
uf20-0123;733;869;1000;206.623;201.086;1408.12;790.586;2.86656;1.80473;3.98644;1.3196;222;B
uf20-0124;1000;1000;1000;29.344;30.542;29.344;30.542;2.89386;0.888129;3.07329;0.691705;46;B
uf20-0125;1000;1000;1000;40.277;33.335;40.277;33.335;3.2732;0.846726;3.25314;0.516799;26;B
uf20-0126;874;956;1000;174.831;156.017;741.831;354.017;3.68027;1.6009;4.26;1.21475;162;B
uf20-0127;1000;1000;1000;32.322;42.302;32.322;42.302;3.04039;0.808823;3.40745;0.697708;311;B
uf20-0128;960;998;1000;97.562;85.532;277.562;94.532;3.7134;1.10775;4.06412;0.81736;102;B
uf20-0129;929;988;1000;147.534;101.304;467.034;155.304;3.85299;1.60134;4.00025;1.13324;27;B
uf20-012;1000;1000;1000;27.5;23.287;27.5;23.287;2.83746;0.821194;2.90035;0.484912;30;B
uf20-0130;994;1000;1000;92.625;85.93;119.625;85.93;3.92026;1.22125;4.07025;0.856497;101;B
uf20-0131;1000;1000;1000;19.679;22.228;19.679;22.228;2.61242;0.662688;2.81947;0.531611;151;A
uf20-0132;901;945;1000;181.999;180.253;627.499;427.753;4.07482;1.24123;4.4604;0.926782;210;B
uf20-0133;926;990;1000;140.257;85.882;473.257;130.882;3.78446;1.45996;3.91999;0.93253;28;B
uf20-0134;1000;1000;1000;46.083;43.804;46.083;43.804;3.35751;0.917589;3.44686;0.661816;62;B
uf20-0135;883;718;1000;188.023;273.04;714.523;1542.04;3.92209;1.4765;3.46005;2.08694;3;A
uf20-0136;754;860;1000;236.285;212.296;1343.29;842.296;3.23023;2.30331;3.97551;1.46774;124;B
uf20-0137;1000;1000;1000;32.479;33.936;32.479;33.936;2.91237;0.981181;3.1481;0.722806;74;B
uf20-0138;811;868;1000;213.4;198.251;1063.9;792.251;3.5479;1.84612;3.93051;1.39104;85;B
uf20-0139;988;996;1000;85.501;83.415;139.501;101.415;3.65872;1.46408;3.88456;1.09347;101;B
uf20-013;792;941;1000;190.662;138.688;1126.66;404.188;3.20564;1.72439;4.01642;1.12383;69;B
uf20-0140;891;987;1000;138.067;107.958;628.567;166.458;3.37545;1.57965;4.10351;1.05682;109;B
uf20-0141;798;841;1000;217.596;209.056;1126.6;924.556;3.54115;1.77145;3.86136;1.37158;174;B
uf20-0142;999;1000;1000;50.878;62.624;55.378;62.624;3.37828;1.08931;3.75893;0.813808;318;B
uf20-0143;1000;1000;1000;23.482;31.139;23.482;31.139;2.81053;0.649783;3.1503;0.593188;148;B
uf20-0144;990;1000;1000;61.827;57.367;106.827;57.367;3.24036;1.43613;3.60819;0.971937;96;B
uf20-0145;991;996;1000;99.566;88.853;140.066;106.853;4.01737;1.18761;4.03605;0.907049;46;B
uf20-0146;955;996;1000;102.867;81.239;305.367;99.239;3.61825;1.2763;3.90398;0.931605;82;B
uf20-0147;818;816;1000;207.577;251.567;1026.58;1079.57;3.59886;1.67787;3.99681;1.51785;498;A
uf20-0148;993;992;1000;75.78;88.719;107.28;124.719;3.75213;1.04977;4.00382;0.90912;357;B
uf20-0149;912;970;1000;140.404;122.471;536.404;257.471;3.62949;1.54974;4.0312;1.24754;102;B
uf20-014;944;939;1000;140.41;161.837;392.41;436.337;3.96904;1.36776;4.17632;1.2243;3;A
uf20-0150;975;999;1000;93.757;68.516;206.257;73.016;3.62485;1.44958;3.8017;0.871045;64;B
uf20-0151;998;997;1000;51.786;81.533;60.786;95.033;3.46807;0.912563;3.9799;0.837921;487;=
uf20-0152;1000;1000;1000;44.403;39.731;44.403;39.731;3.3686;0.863558;3.37496;0.638059;39;B
uf20-0153;1000;1000;1000;26.681;29.602;26.681;29.602;2.90904;0.705753;3.09593;0.580231;159;B
uf20-0154;959;935;1000;135.686;170.571;320.186;463.071;4.08978;1.2402;4.33006;0.906676;5;A
uf20-0155;1000;1000;1000;41.92;42.856;41.92;42.856;3.29215;0.915735;3.40735;0.729362;213;B
uf20-0156;986;986;1000;82.372;104.193;145.372;167.193;3.58483;1.49271;4.03372;1.12638;431;A
uf20-0157;965;960;1000;129.017;145.74;286.517;325.74;4.09833;1.24593;4.25244;1.06454;2;A
uf20-0158;979;996;1000;100.697;86.706;195.197;104.706;3.84036;1.36312;4.00206;0.944847;77;B
uf20-0159;855;868;1000;203.385;200.959;855.885;794.959;3.79567;1.73675;3.93335;1.47872;341;B
uf20-015;990;996;1000;66.944;71.704;111.944;89.704;3.46864;1.25822;3.75881;0.96861;155;B
uf20-0160;621;841;1000;274.238;209.722;1979.74;925.222;2.6123;2.67313;3.81191;1.5416;64;B
uf20-0161;981;993;1000;101.952;106.161;187.452;137.661;3.87933;1.38643;4.23694;0.852978;149;B
uf20-0162;1000;1000;1000;31.619;36;31.619;36;3.01586;0.825201;3.29957;0.598501;69;B
uf20-0163;1000;1000;1000;43.706;68.682;43.706;68.682;3.31497;0.96276;3.82092;0.888709;1;A
uf20-0164;1000;1000;1000;25.118;25.67;25.118;25.67;2.88896;0.625598;2.99134;0.492475;55;B
uf20-0165;1000;1000;1000;46.077;58.964;46.077;58.964;3.3206;0.990372;3.62248;0.939427;419;A
uf20-0166;915;986;1000;173.436;115.878;555.936;178.878;4.0621;1.41141;4.22534;0.984207;32;B
uf20-0167;787;870;1000;229.116;211.92;1187.62;796.92;3.53746;1.86576;4.11678;1.21127;125;B
uf20-0168;987;999;1000;89.234;76.413;147.734;80.913;3.82856;1.20643;3.96366;0.777703;67;B
uf20-0169;999;999;1000;53.35;57.763;57.85;62.263;3.47946;1.00302;3.64879;0.841461;433;A
uf20-016;975;994;1000;105.863;107.964;218.363;134.964;3.88378;1.27903;4.19232;1.01265;158;B
uf20-0170;995;996;1000;81.003;98.61;103.503;116.61;3.80651;1.15168;4.13893;0.943926;489;=
uf20-0171;984;999;1000;93.78;65.548;165.78;70.048;3.75209;1.36449;3.7231;0.934188;37;B
uf20-0172;705;707;1000;257.089;278.126;1584.59;1596.63;3.16823;2.21789;3.43022;2.13147;425;B
uf20-0173;981;1000;1000;85.481;68.93;170.981;68.93;3.66702;1.27822;3.85663;0.792072;67;B
uf20-0174;992;995;1000;71.745;100.866;107.745;123.366;3.63652;1.14139;4.15923;0.913242;445;B
uf20-0175;917;996;1000;132.451;86.591;505.951;104.591;3.60149;1.42348;3.96801;1.00031;55;B
uf20-0176;680;682;1000;276.088;301.245;1716.09;1732.24;3.16352;2.41094;3.41133;2.35922;492;B
uf20-0177;773;927;1000;229.401;183.339;1250.9;511.839;3.43866;1.90131;4.35591;0.948268;104;B
uf20-0178;975;966;1000;117.746;151.605;230.246;304.605;4.01727;1.32726;4.36481;1.05039;4;A
uf20-0179;994;998;1000;86.338;77.645;113.338;86.645;3.8439;1.25264;3.96723;0.809595;71;B
uf20-017;991;996;1000;89.021;102.727;129.521;120.727;3.84719;1.24512;4.15538;1.02442;326;B
uf20-0180;784;939;1000;241.843;174.625;1213.84;449.125;3.61941;1.95782;4.34852;1.02633;46;B
uf20-0181;999;998;1000;57.028;66.319;61.528;75.319;3.53038;1.02226;3.78;0.829624;449;B
uf20-0182;999;1000;1000;57.429;53.712;61.929;53.712;3.59048;0.916908;3.66984;0.652731;65;B
uf20-0183;871;870;1000;197.535;207.993;778.035;792.993;3.91308;1.54124;4.059;1.33039;492;A
uf20-0184;966;997;1000;106.103;91.17;259.103;104.67;3.74968;1.40896;4.06476;0.981998;116;B
uf20-0185;790;826;1000;219.863;240.437;1164.86;1023.44;3.48312;1.82275;4.01311;1.38183;358;B
uf20-0186;999;999;1000;63.78;66.16;68.28;70.66;3.71808;0.911529;3.87249;0.6672;135;B
uf20-0187;997;999;1000;55.522;69.899;69.022;74.399;3.42195;1.12062;3.79589;0.945459;431;B
uf20-0188;925;996;1000;132.629;94.139;470.129;112.139;3.66631;1.46779;4.04311;1.06179;69;B
uf20-0189;992;1000;1000;63.11;69.389;99.11;69.389;3.50374;1.06762;3.88815;0.76458;142;B
uf20-018;688;886;1000;271.307;209.101;1675.31;722.101;3.18853;2.35207;4.1979;1.20009;40;B
uf20-0190;1000;1000;1000;39.601;52.833;39.601;52.833;3.17243;0.976806;3.57313;0.843119;337;A
uf20-0191;860;960;1000;196.796;160.562;826.796;340.562;3.77235;1.66013;4.40102;0.998651;93;B
