inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
uf20-01;1000;1000;1000;9.583;8.065;9.583;8.065;1.8104;0.666667;1.85555;0.451144;15;B
uf20-010;1000;1000;1000;7.54;7.338;7.54;7.338;1.70477;0.470347;1.81182;0.368472;15;B
uf20-0100;1000;1000;1000;16.178;11.44;16.178;11.44;2.17655;0.963318;2.13663;0.588786;13;B
uf20-01000;1000;1000;1000;12.702;11.243;12.702;11.243;2.06402;0.727833;2.15454;0.511404;17;B
uf20-0101;1000;1000;1000;13.43;10.357;13.43;10.357;2.02825;0.858094;2.07342;0.524283;15;B
uf20-0102;1000;1000;1000;7.832;7.988;7.832;7.988;1.77392;0.436373;1.89886;0.361558;18;B
uf20-0103;1000;1000;1000;11.08;10.093;11.08;10.093;2.00589;0.602958;2.08941;0.444245;19;B
uf20-0104;1000;1000;1000;9.534;9.326;9.534;9.326;1.88932;0.536764;2.00675;0.447076;19;B
uf20-0105;1000;1000;1000;7.944;8.612;7.944;8.612;1.75919;0.439772;1.92976;0.442151;24;B
uf20-0106;1000;1000;1000;9.382;8.589;9.382;8.589;1.88868;0.527758;1.94479;0.422703;16;B
uf20-0107;1000;1000;1000;9.953;9.122;9.953;9.122;1.89409;0.548919;1.98652;0.424722;17;B
uf20-0108;999;1000;1000;31.247;15.251;35.747;15.251;2.42217;1.59875;2.3031;0.787857;14;B
uf20-0109;1000;1000;1000;18.47;13.011;18.47;13.011;2.29044;0.931605;2.29593;0.5191;18;B
uf20-011;1000;1000;1000;12.441;10.744;12.441;10.744;2.0579;0.690329;2.12375;0.490193;20;B
uf20-0110;1000;1000;1000;12.058;9.377;12.058;9.377;1.91757;0.832226;1.96443;0.53098;17;B
uf20-0111;1000;1000;1000;16.439;12.239;16.439;12.239;2.11399;0.973683;2.19216;0.593489;19;B
uf20-0112;1000;1000;1000;6.431;7.179;6.431;7.179;1.66877;0.335209;1.7906;0.382501;18;B
uf20-0113;1000;1000;1000;24.096;14.351;24.096;14.351;2.39104;1.28992;2.32475;0.668384;15;B
uf20-0114;1000;1000;1000;10.913;10.139;10.913;10.139;2.02147;0.609687;2.09361;0.449747;17;B
uf20-0115;1000;1000;1000;15.587;10.599;15.587;10.599;2.10171;0.960728;2.09546;0.530748;14;B
uf20-0116;1000;1000;1000;12.091;10.387;12.091;10.387;1.96826;0.700974;2.09031;0.473549;20;B
uf20-0117;1000;1000;1000;9.318;8.75;9.318;8.75;1.85108;0.585864;1.96146;0.422627;17;B
uf20-0118;1000;1000;1000;10.149;9.381;10.149;9.381;1.90204;0.639751;1.99735;0.479808;19;B
uf20-0119;1000;1000;1000;9.145;9.511;9.145;9.511;1.90037;0.532496;2.04093;0.44961;20;B
uf20-012;1000;1000;1000;7.444;7.555;7.444;7.555;1.71829;0.475581;1.82808;0.399291;14;B
uf20-0120;997;1000;1000;20.025;12.536;33.525;12.536;2.17982;0.976652;2.23042;0.596607;19;B
uf20-0121;1000;1000;1000;11.147;10.178;11.147;10.178;2.00832;0.606648;2.08459;0.475718;21;B
uf20-0122;1000;1000;1000;9.003;8.501;9.003;8.501;1.84331;0.53343;1.92936;0.437699;18;B
uf20-0123;995;1000;1000;26.086;14.636;48.586;14.636;2.27379;1.14691;2.29207;0.683038;19;B
uf20-0124;1000;1000;1000;7.907;7.76;7.907;7.76;1.73213;0.483504;1.84048;0.418298;18;B
uf20-0125;1000;1000;1000;8.193;8.95;8.193;8.95;1.8463;0.413737;2.01052;0.386236;20;B
uf20-0126;1000;1000;1000;8.526;8.309;8.526;8.309;1.81943;0.489579;1.91049;0.42612;17;B
uf20-0127;1000;1000;1000;8.566;8.305;8.566;8.305;1.81466;0.52098;1.88176;0.474092;15;B
uf20-0128;1000;1000;1000;10.512;10.384;10.512;10.384;2.03258;0.534295;2.09702;0.51213;19;B
uf20-0129;1000;1000;1000;8.17;8.275;8.17;8.275;1.84034;0.443177;1.91857;0.413261;16;B
uf20-013;1000;1000;1000;16.691;13.256;16.691;13.256;2.19532;0.917386;2.29256;0.552871;20;B
uf20-0130;1000;1000;1000;10.083;9.671;10.083;9.671;1.90439;0.5788;2.04293;0.450522;20;B
uf20-0131;1000;1000;1000;10.495;9.109;10.495;9.109;1.90694;0.665418;1.96969;0.493192;16;B
uf20-0132;1000;1000;1000;14.904;9.253;14.904;9.253;1.91906;1.03947;1.89191;0.594472;13;B
uf20-0133;1000;1000;1000;28.336;15.871;28.336;15.871;2.47977;1.47287;2.35788;0.766395;15;B
uf20-0134;1000;1000;1000;12.141;8.671;12.141;8.671;1.8973;0.85393;1.8672;0.55149;12;B
uf20-0135;998;1000;1000;16.505;10.482;25.505;10.482;2.00058;0.800109;2.05662;0.508425;17;B
uf20-0136;1000;1000;1000;11.287;9.92;11.287;9.92;2.02386;0.67418;2.06856;0.476734;15;B
