inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
uf20-01;921;996;1000;166.89;93.062;522.39;111.062;3.98601;1.58428;4.07483;0.953492;27;B
uf20-010;887;996;1000;158.19;82.727;666.69;100.727;3.57911;1.67836;3.8923;1.05636;22;B
uf20-0100;951;998;1000;142.365;85.059;362.865;94.059;4.12702;1.1845;4.08394;0.755052;28;B
uf20-01000;657;918;1000;292.419;198.197;1835.92;567.197;3.09491;2.64426;4.37498;1.02166;42;B
uf20-0101;875;986;1000;207.636;121.524;770.136;184.524;4.07212;1.39186;4.3508;0.77762;34;B
uf20-0102;669;934;1000;290.028;178.11;1779.53;475.11;3.16539;2.61447;4.35797;0.994221;28;B
uf20-0103;613;860;1000;310.768;218.27;2052.27;848.27;2.95736;2.88949;4.10416;1.21155;24;B
uf20-0104;831;990;1000;146.105;86.163;906.605;131.163;2.87144;1.61317;3.69818;1.33325;33;B
uf20-0105;502;785;1000;338.328;252.86;2579.33;1220.36;2.36676;3.40898;3.80276;1.62184;34;B
uf20-0106;533;833;1000;339.341;240.437;2440.84;991.937;2.57427;3.39417;4.08139;1.28348;42;B
uf20-0107;615;951;1000;301.51;162.291;2034.01;382.791;2.86773;2.84085;4.37454;0.936801;26;B
uf20-0108;914;995;1000;162.911;107.712;549.911;130.212;3.98133;1.30883;4.24263;0.908765;33;B
uf20-0109;757;957;1000;261.527;158.781;1355.03;352.281;3.55386;2.14517;4.35526;1.0069;29;B
uf20-011;995;1000;1000;74.798;44.807;97.298;44.807;3.59809;1.48724;3.45282;0.733241;27;B
uf20-0110;999;1000;1000;52.317;32.684;56.817;32.684;3.35869;1.21223;3.20351;0.583861;23;B
uf20-0111;987;1000;1000;94.674;53.869;153.174;53.869;3.82812;1.36962;3.65855;0.697511;27;B
uf20-0112;560;921;1000;318.111;174.242;2298.11;529.742;2.56916;3.17349;4.18283;1.13853;22;B
uf20-0113;545;827;1000;317.454;235.759;2364.95;1014.26;2.48434;3.13246;4.00413;1.31294;63;B
uf20-0114;946;1000;1000;124.112;58.76;367.112;58.76;3.76572;1.4971;3.66094;0.852433;19;B
uf20-0115;872;996;1000;187.26;103.438;763.26;121.438;3.79016;1.65904;4.15431;1.05067;25;B
uf20-0116;934;988;1000;163.185;120.306;460.185;174.306;4.07967;1.42873;4.2759;0.979487;45;B
uf20-0117;533;927;1000;321.264;176.539;2422.76;505.039;2.38303;3.25655;4.26867;1.05915;33;B
uf20-0118;1000;1000;1000;51.294;35.773;51.294;35.773;3.31025;1.20785;3.27883;0.622866;35;B
uf20-0119;354;699;1000;380.082;279.397;3287.08;1633.9;1.60042;3.56728;3.33424;2.30283;18;B
uf20-012;998;1000;1000;37.309;24.095;46.309;24.095;2.96212;1.06202;2.92575;0.501274;23;B
uf20-0120;805;995;1000;209.546;95.5;1087.05;118;3.35411;2.16143;4.04515;1.10504;29;B
uf20-0121;916;1000;1000;130.33;77.073;508.33;77.073;3.52835;1.56257;3.86774;1.00276;32;B
uf20-0122;820;948;1000;218.75;154.02;1028.75;388.02;3.77931;1.53254;4.23679;1.00607;20;B
uf20-0123;542;875;1000;317.357;189.893;2378.36;752.393;2.44677;3.18287;3.96508;1.23216;22;B
uf20-0124;995;1000;1000;53.157;29.581;75.657;29.581;3.20754;1.33057;3.05967;0.634681;22;B
uf20-0125;1000;1000;1000;45.206;35.265;45.206;35.265;3.26711;1.05751;3.29727;0.566446;35;B
uf20-0126;738;955;1000;248.998;148.297;1428;350.797;3.29035;2.25941;4.18218;1.21246;22;B
uf20-0127;999;1000;1000;66.458;40.373;70.958;40.373;3.57152;1.31656;3.37521;0.632463;22;B
uf20-0128;942;996;1000;147.001;83.073;408.001;101.073;4.04659;1.29;4.02414;0.799055;25;B
