inst,succ gsat,of,steps gsat,awg fined gsat,mu gsat,sig^2 gsat,succ probsat,steps probsat,awg fined probsat,mu probsat,sig^2 probsat
uf20-01,1000,1000,8.065,8.065,1.85555,0.451144,1000.0,5.288,52.88,1.484885064196799,0.38956132280228356
uf20-010,1000,1000,7.338,7.338,1.81182,0.368472,1000.0,5.864,58.64,1.5874683441822992,0.37911765107123707
uf20-0100,1000,1000,11.44,11.44,2.13663,0.588786,1000.0,7.89,78.9,1.799824468071347,0.5367383567134523
uf20-01000,1000,1000,11.243,11.243,2.15454,0.511404,1000.0,7.895,78.95,1.8467625958065101,0.46387496142624896
uf20-0101,1000,1000,10.357,10.357,2.07342,0.524283,1000.0,7.054,70.54,1.723208548304188,0.4720243629795436
uf20-0102,1000,1000,7.988,7.988,1.89886,0.361558,1000.0,6.091,60.91,1.6309216840379324,0.36678786291379384
uf20-0103,1000,1000,10.093,10.093,2.08941,0.444245,1000.0,7.602,76.02,1.8378761843170293,0.3979306148034357
uf20-0104,1000,1000,9.326,9.326,2.00675,0.447076,1000.0,6.603,66.03,1.695242743151762,0.4026322262831706
uf20-0105,1000,1000,8.612,8.612,1.92976,0.442151,1000.0,6.207,62.07,1.6294593648400204,0.4077561498629479
uf20-0106,1000,1000,8.589,8.589,1.94479,0.422703,1000.0,6.969,69.69,1.7523844918586446,0.40041657412411497
uf20-0107,1000,1000,9.122,9.122,1.98652,0.424722,1000.0,6.746,67.46,1.6987895188848923,0.43214705620181043
uf20-0108,1000,1000,15.251,15.251,2.3031,0.787857,1000.0,10.827,108.27,1.9660747125397786,0.7053252190124937
uf20-0109,1000,1000,13.011,13.011,2.29593,0.5191,1000.0,9.459,94.59,1.9699011006644036,0.5374448126497978
uf20-011,1000,1000,10.744,10.744,2.12375,0.490193,1000.0,7.08,70.8,1.7673924931645753,0.4091328225863022
uf20-0110,1000,1000,9.377,9.377,1.96443,0.53098,1000.0,6.418,64.18,1.6197277141061206,0.482606612868681
uf20-0111,1000,1000,12.239,12.239,2.19216,0.593489,1000.0,8.053,80.53,1.8077747924362146,0.5518320348147083
uf20-0112,1000,1000,7.179,7.179,1.7906,0.382501,1000.0,5.498,54.98,1.544844093093242,0.34818688115218005
uf20-0113,1000,1000,14.351,14.351,2.32475,0.668384,1000.0,9.708,97.08,1.9042629917099758,0.6488852888344655
uf20-0114,1000,1000,10.139,10.139,2.09361,0.449747,1000.0,7.558,75.58,1.7971075470654154,0.449654928640985
uf20-0115,1000,1000,10.599,10.599,2.09546,0.530748,1000.0,7.316,73.16,1.7647317998196186,0.4590671398729964
uf20-0116,1000,1000,10.387,10.387,2.09031,0.473549,1000.0,8.55,85.5,1.8246667041108027,0.5383507020176619
uf20-0117,1000,1000,8.75,8.75,1.96146,0.422627,1000.0,6.117,61.17,1.603804945393993,0.4222012011744668
uf20-0118,1000,1000,9.381,9.381,1.99735,0.479808,1000.0,6.21,62.1,1.6135248615245288,0.44001944561270984
uf20-0119,1000,1000,9.511,9.511,2.04093,0.44961,1000.0,6.201,62.01,1.6465000464427595,0.38409948110164566
uf20-012,1000,1000,7.555,7.555,1.82808,0.399291,1000.0,5.253,52.53,1.4842744735514888,0.3769451332150292
uf20-0120,1000,1000,12.536,12.536,2.23042,0.596607,1000.0,8.142,81.42,1.8154896485376253,0.5647371552437349
