inst,succ gsat,of,steps gsat,awg fined gsat,mu gsat,sig^2 gsat,succ probsat,steps probsat,awg fined probsat,mu probsat,sig^2 probsat
uf20-01,996,1000,93.062,111.062,4.07483,0.953492,997.0,71.416,714.16,3.7570909774532226,1.0614731935119328
uf20-010,996,1000,82.727,100.727,3.8923,1.05636,976.0,79.922,799.22,3.6635664455119348,1.3686454011149793
uf20-0100,998,1000,85.059,94.059,4.08394,0.755052,996.0,75.063,750.63,3.8264995712500216,1.026556501406615
uf20-01000,918,1000,198.197,567.197,4.37498,1.02166,754.0,220.594,2205.94,4.80553903847913,1.561245913399868
uf20-0101,986,1000,121.524,184.524,4.3508,0.77762,927.0,122.294,1222.94,4.0932268348485925,1.5487825585550303
uf20-0102,934,1000,178.11,475.11,4.35797,0.994221,922.0,168.988,1689.88,4.5797640303843705,1.4334632597536265
uf20-0103,860,1000,218.27,848.27,4.10416,1.21155,652.0,253.98,2539.8,4.925947746447295,1.7258303345570718
uf20-0104,990,1000,86.163,131.163,3.69818,1.33325,951.0,82.278,822.78,3.4538221291398084,1.7202942864344246
uf20-0105,785,1000,252.86,1220.36,3.80276,1.62184,774.0,208.675,2086.75,4.697414770165614,1.6813764005452856
uf20-0106,833,1000,240.437,991.937,4.08139,1.28348,583.0,300.26,3002.6,5.223778711720231,1.4835819276098199
uf20-0107,951,1000,162.291,382.791,4.37454,0.936801,972.0,126.724,1267.24,4.373297650223321,1.056912888327022
uf20-0108,995,1000,107.712,130.212,4.24263,0.908765,984.0,97.577,975.77,4.044239956897662,1.1939610533915208
uf20-0109,957,1000,158.781,352.281,4.35526,1.0069,984.0,116.843,1168.43,4.344769783411077,0.9842192527503187
uf20-011,1000,1000,44.807,44.807,3.45282,0.733241,997.0,37.013,370.13,3.05086665256471,0.8813579555946776
uf20-0110,1000,1000,32.684,32.684,3.20351,0.583861,1000.0,19.971,199.71,2.7161448594651088,0.5448318630261977
uf20-0111,1000,1000,53.869,53.869,3.65855,0.697511,1000.0,36.397,363.97,3.274701274172086,0.6827475705112219
uf20-0112,921,1000,174.242,529.742,4.18283,1.13853,811.0,179.778,1797.78,4.355613351425151,2.0648451212861687
uf20-0113,827,1000,235.759,1014.26,4.00413,1.31294,876.0,167.329,1673.29,4.49105069793028,1.4990282045881564
uf20-0114,1000,1000,58.76,58.76,3.66094,0.852433,996.0,53.162,531.62,3.4047010443743435,1.003313505744704
uf20-0115,996,1000,103.438,121.438,4.15431,1.05067,929.0,117.102,1171.02,4.001381404243372,1.636023763505049
uf20-0116,988,1000,120.306,174.306,4.2759,0.979487,969.0,90.326,903.26,3.899322161903227,1.1798829210357675
uf20-0117,927,1000,176.539,505.039,4.26867,1.05915,955.0,124.743,1247.43,4.2504211934392035,1.2912525825004477
uf20-0118,1000,1000,35.773,35.773,3.27883,0.622866,1000.0,27.261,272.61,2.912906070919901,0.6826209738167494
uf20-0119,699,1000,279.397,1633.9,3.33424,2.30283,693.0,254.783,2547.83,4.947908560408268,1.7653753703213972
uf20-012,1000,1000,24.095,24.095,2.92575,0.501274,1000.0,17.562,175.62,2.589766234465761,0.5143837039476618
uf20-0120,995,1000,95.5,118.0,4.04515,1.10504,884.0,126.633,1266.33,3.9704830961101556,1.9274111313228064
uf20-0121,1000,1000,77.073,77.073,3.86774,1.00276,999.0,55.829,558.29,3.4741389675533703,1.0667428184334693
uf20-0122,948,1000,154.02,388.02,4.23679,1.00607,786.0,176.305,1763.05,4.343525354954361,1.952611009341356
uf20-0123,875,1000,189.893,752.393,3.96508,1.23216,886.0,141.993,1419.93,4.201690209411306,1.6346037047119444
uf20-0124,1000,1000,29.581,29.581,3.05967,0.634681,1000.0,22.344,223.44,2.7346996523962375,0.6382569329581012
uf20-0125,1000,1000,35.265,35.265,3.29727,0.566446,1000.0,25.435,254.35,2.987377479568229,0.5045188277911087
uf20-0126,955,1000,148.297,350.797,4.18218,1.21246,944.0,130.799,1307.99,4.148983334887071,1.6572557212554595
uf20-0127,1000,1000,40.373,40.373,3.37521,0.632463,999.0,27.455,274.55,2.9259084563591986,0.6631539637855849
uf20-0128,996,1000,83.073,101.073,4.02414,0.799055,934.0,107.988,1079.88,3.9551392240450833,1.4562174304354325
uf20-0129,977,1000,107.988,211.488,3.97468,1.13514,730.0,199.237,1992.37,4.41839567600339,2.2643930174004065
uf20-013,942,1000,145.584,406.584,4.08364,1.1022,774.0,190.568,1905.68,4.474294952531724,1.9344342690340062
uf20-0130,999,1000,93.9,98.4,4.17816,0.802707,991.0,75.081,750.81,3.8250498323501603,1.0271379265374836
