total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
0,24543,191,24543,191,4190,4.857517899761336,4.857517899761336,0.12385321100917432,0.12385321100917432
1,24543,191,24543,191,4190,4.857517899761336,4.857517899761336,0.12385321100917432,0.12385321100917432
2,24543,191,24542,188,4190,4.857517899761336,4.85727923627685,0.12385321100917432,0.13761467889908258
3,24543,191,23070,190,4190,4.857517899761336,4.505966587112172,0.12385321100917432,0.12844036697247707
4,24543,191,23561,190,4190,4.857517899761336,4.623150357995227,0.12385321100917432,0.12844036697247707
5,22089,192,22089,192,4190,4.271837708830549,4.271837708830549,0.11926605504587157,0.11926605504587157
6,22090,195,22090,195,4190,4.272076372315036,4.272076372315036,0.10550458715596331,0.10550458715596331
7,20618,196,20618,196,4190,3.920763723150358,3.920763723150358,0.10091743119266056,0.10091743119266056
8,20618,196,20618,196,4190,3.920763723150358,3.920763723150358,0.10091743119266056,0.10091743119266056
9,20618,196,20617,196,4190,3.920763723150358,3.920525059665871,0.10091743119266056,0.10091743119266056
10,21598,197,21598,197,4190,4.154653937947494,4.154653937947494,0.0963302752293578,0.0963302752293578
11,21598,197,21597,194,4190,4.154653937947494,4.154415274463007,0.0963302752293578,0.11009174311926606
12,21598,197,20125,195,4190,4.154653937947494,3.8031026252983295,0.0963302752293578,0.10550458715596331
13,21598,197,20124,194,4190,4.154653937947494,3.8028639618138427,0.0963302752293578,0.11009174311926606
14,21598,197,21105,194,4190,4.154653937947494,4.036992840095466,0.0963302752293578,0.11009174311926606
15,21598,197,21105,194,4190,4.154653937947494,4.036992840095466,0.0963302752293578,0.11009174311926606
16,21598,197,21105,194,4190,4.154653937947494,4.036992840095466,0.0963302752293578,0.11009174311926606
17,21598,197,21105,194,4190,4.154653937947494,4.036992840095466,0.0963302752293578,0.11009174311926606
18,21598,197,21841,193,4190,4.154653937947494,4.212649164677805,0.0963302752293578,0.11467889908256881
19,21598,197,23313,193,4190,4.154653937947494,4.563961813842482,0.0963302752293578,0.11467889908256881
20,21598,197,23313,193,4190,4.154653937947494,4.563961813842482,0.0963302752293578,0.11467889908256881
21,21598,197,23313,193,4190,4.154653937947494,4.563961813842482,0.0963302752293578,0.11467889908256881
22,21598,197,23312,192,4190,4.154653937947494,4.563723150357995,0.0963302752293578,0.11926605504587157
23,21598,197,23312,192,4190,4.154653937947494,4.563723150357995,0.0963302752293578,0.11926605504587157
24,21598,197,24784,191,4190,4.154653937947494,4.915035799522673,0.0963302752293578,0.12385321100917432
25,21598,197,23312,194,4190,4.154653937947494,4.563723150357995,0.0963302752293578,0.11009174311926606
26,21598,197,24784,194,4190,4.154653937947494,4.915035799522673,0.0963302752293578,0.11009174311926606
27,21598,197,24784,194,4190,4.154653937947494,4.915035799522673,0.0963302752293578,0.11009174311926606
28,21598,197,26256,194,4190,4.154653937947494,5.266348448687351,0.0963302752293578,0.11009174311926606
29,21598,197,26255,194,4190,4.154653937947494,5.266109785202864,0.0963302752293578,0.11009174311926606
30,21598,197,26255,194,4190,4.154653937947494,5.266109785202864,0.0963302752293578,0.11009174311926606
