total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
0,8499,192,8499,192,20150,0.5782133995037221,0.5782133995037221,0.11926605504587157,0.11926605504587157
1,9408,194,9408,194,20150,0.5331017369727047,0.5331017369727047,0.11009174311926606,0.11009174311926606
2,10317,197,10317,197,20150,0.48799007444168735,0.48799007444168735,0.0963302752293578,0.0963302752293578
3,10317,197,10318,194,20150,0.48799007444168735,0.4879404466501241,0.0963302752293578,0.11009174311926606
4,10317,197,10318,194,20150,0.48799007444168735,0.4879404466501241,0.0963302752293578,0.11009174311926606
5,10317,197,11227,195,20150,0.48799007444168735,0.4428287841191067,0.0963302752293578,0.10550458715596331
6,10317,197,11227,195,20150,0.48799007444168735,0.4428287841191067,0.0963302752293578,0.10550458715596331
7,10317,197,11227,195,20150,0.48799007444168735,0.4428287841191067,0.0963302752293578,0.10550458715596331
8,11833,198,11833,198,20150,0.4127543424317618,0.4127543424317618,0.09174311926605505,0.09174311926605505
9,11834,199,11834,199,20150,0.41270471464019853,0.41270471464019853,0.0871559633027523,0.0871559633027523
10,10925,200,10925,200,20150,0.45781637717121587,0.45781637717121587,0.08256880733944955,0.08256880733944955
11,10924,201,10924,201,20150,0.4578660049627792,0.4578660049627792,0.0779816513761468,0.0779816513761468
12,10925,201,10925,201,20150,0.45781637717121587,0.45781637717121587,0.0779816513761468,0.0779816513761468
13,10925,201,10924,201,20150,0.45781637717121587,0.4578660049627792,0.0779816513761468,0.0779816513761468
14,10925,201,10925,201,20150,0.45781637717121587,0.45781637717121587,0.0779816513761468,0.0779816513761468
15,10925,201,10926,200,20150,0.45781637717121587,0.4577667493796526,0.0779816513761468,0.08256880733944955
16,10925,201,10471,201,20150,0.45781637717121587,0.48034739454094294,0.0779816513761468,0.0779816513761468
17,9562,203,9562,203,20150,0.5254590570719603,0.5254590570719603,0.06880733944954129,0.06880733944954129
18,9865,203,9865,203,20150,0.5104218362282879,0.5104218362282879,0.06880733944954129,0.06880733944954129
19,9865,203,9865,203,20150,0.5104218362282879,0.5104218362282879,0.06880733944954129,0.06880733944954129
20,9865,203,9865,203,20150,0.5104218362282879,0.5104218362282879,0.06880733944954129,0.06880733944954129
21,9865,203,9864,203,20150,0.5104218362282879,0.5104714640198511,0.06880733944954129,0.06880733944954129
22,9863,204,9863,204,20150,0.5105210918114144,0.5105210918114144,0.06422018348623854,0.06422018348623854
23,9862,205,9862,205,20150,0.5105707196029776,0.5105707196029776,0.05963302752293578,0.05963302752293578
24,9861,206,9861,206,20150,0.510620347394541,0.510620347394541,0.05504587155963303,0.05504587155963303
25,9861,206,9862,205,20150,0.510620347394541,0.5105707196029776,0.05504587155963303,0.05963302752293578
26,9861,206,9862,205,20150,0.510620347394541,0.5105707196029776,0.05504587155963303,0.05963302752293578
27,9861,206,9861,203,20150,0.510620347394541,0.510620347394541,0.05504587155963303,0.06880733944954129
28,9861,206,9861,203,20150,0.510620347394541,0.510620347394541,0.05504587155963303,0.06880733944954129
29,9861,206,9861,203,20150,0.510620347394541,0.510620347394541,0.05504587155963303,0.06880733944954129
30,9861,206,9861,203,20150,0.510620347394541,0.510620347394541,0.05504587155963303,0.06880733944954129
31,9861,206,9862,202,20150,0.510620347394541,0.5105707196029776,0.05504587155963303,0.07339449541284404
32,9861,206,9861,203,20150,0.510620347394541,0.510620347394541,0.05504587155963303,0.06880733944954129
33,9861,206,8952,200,20150,0.510620347394541,0.5557320099255583,0.05504587155963303,0.08256880733944955
34,9861,206,8952,200,20150,0.510620347394541,0.5557320099255583,0.05504587155963303,0.08256880733944955
35,9861,206,8953,200,20150,0.510620347394541,0.555682382133995,0.05504587155963303,0.08256880733944955
36,9861,206,8952,200,20150,0.510620347394541,0.5557320099255583,0.05504587155963303,0.08256880733944955
37,9861,206,8951,195,20150,0.510620347394541,0.5557816377171216,0.05504587155963303,0.10550458715596331
38,9861,206,8952,194,20150,0.510620347394541,0.5557320099255583,0.05504587155963303,0.11009174311926606
39,9861,206,8953,197,20150,0.510620347394541,0.555682382133995,0.05504587155963303,0.0963302752293578
40,9861,206,8952,198,20150,0.510620347394541,0.5557320099255583,0.05504587155963303,0.09174311926605505
41,9861,206,9407,198,20150,0.510620347394541,0.5331513647642679,0.05504587155963303,0.09174311926605505
42,9861,206,9407,198,20150,0.510620347394541,0.5331513647642679,0.05504587155963303,0.09174311926605505
43,9861,206,10316,199,20150,0.510620347394541,0.4880397022332506,0.05504587155963303,0.0871559633027523
44,9861,206,10316,199,20150,0.510620347394541,0.4880397022332506,0.05504587155963303,0.0871559633027523
45,9861,206,10316,199,20150,0.510620347394541,0.4880397022332506,0.05504587155963303,0.0871559633027523
46,9861,206,10315,199,20150,0.510620347394541,0.4880893300248139,0.05504587155963303,0.0871559633027523
47,9861,206,11224,200,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.08256880733944955
48,9861,206,11224,200,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.08256880733944955
49,9861,206,11224,200,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.08256880733944955
50,9861,206,11224,200,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.08256880733944955
51,9861,206,11224,200,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.08256880733944955
52,9861,206,11223,201,20150,0.510620347394541,0.4430272952853598,0.05504587155963303,0.0779816513761468
53,9861,206,11223,201,20150,0.510620347394541,0.4430272952853598,0.05504587155963303,0.0779816513761468
54,9861,206,11224,203,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.06880733944954129
55,9861,206,11224,203,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.06880733944954129
56,9861,206,11224,203,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.06880733944954129
57,9861,206,11224,203,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.06880733944954129
58,9861,206,11224,203,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.06880733944954129
59,9861,206,11224,203,20150,0.510620347394541,0.4429776674937965,0.05504587155963303,0.06880733944954129
60,9861,206,12133,203,20150,0.510620347394541,0.39786600496277913,0.05504587155963303,0.06880733944954129
61,9861,206,12132,200,20150,0.510620347394541,0.39791563275434244,0.05504587155963303,0.08256880733944955
62,9861,206,12132,200,20150,0.510620347394541,0.39791563275434244,0.05504587155963303,0.08256880733944955
63,9861,206,12133,199,20150,0.510620347394541,0.39786600496277913,0.05504587155963303,0.0871559633027523
64,9861,206,12132,200,20150,0.510620347394541,0.39791563275434244,0.05504587155963303,0.08256880733944955
65,9861,206,12132,200,20150,0.510620347394541,0.39791563275434244,0.05504587155963303,0.08256880733944955
66,9861,206,12132,200,20150,0.510620347394541,0.39791563275434244,0.05504587155963303,0.08256880733944955
67,9861,206,12131,201,20150,0.510620347394541,0.3979652605459057,0.05504587155963303,0.0779816513761468
68,9861,206,12132,200,20150,0.510620347394541,0.39791563275434244,0.05504587155963303,0.08256880733944955
69,9861,206,12131,199,20150,0.510620347394541,0.3979652605459057,0.05504587155963303,0.0871559633027523
70,9861,206,12132,198,20150,0.510620347394541,0.39791563275434244,0.05504587155963303,0.09174311926605505
71,9861,206,11677,197,20150,0.510620347394541,0.42049627791563277,0.05504587155963303,0.0963302752293578
72,9861,206,11678,196,20150,0.510620347394541,0.42044665012406945,0.05504587155963303,0.10091743119266056
73,9861,206,11679,195,20150,0.510620347394541,0.4203970223325062,0.05504587155963303,0.10550458715596331
74,9861,206,11679,195,20150,0.510620347394541,0.4203970223325062,0.05504587155963303,0.10550458715596331
75,9861,206,11678,196,20150,0.510620347394541,0.42044665012406945,0.05504587155963303,0.10091743119266056
76,9861,206,11678,196,20150,0.510620347394541,0.42044665012406945,0.05504587155963303,0.10091743119266056
77,9861,206,12587,198,20150,0.510620347394541,0.3753349875930521,0.05504587155963303,0.09174311926605505
78,9861,206,12586,200,20150,0.510620347394541,0.37538461538461537,0.05504587155963303,0.08256880733944955
79,9861,206,12585,200,20150,0.510620347394541,0.3754342431761787,0.05504587155963303,0.08256880733944955
80,9861,206,12585,200,20150,0.510620347394541,0.3754342431761787,0.05504587155963303,0.08256880733944955
81,9861,206,13494,201,20150,0.510620347394541,0.3303225806451613,0.05504587155963303,0.0779816513761468
82,9861,206,13494,201,20150,0.510620347394541,0.3303225806451613,0.05504587155963303,0.0779816513761468
83,9861,206,13493,200,20150,0.510620347394541,0.33037220843672455,0.05504587155963303,0.08256880733944955
84,9861,206,13494,200,20150,0.510620347394541,0.3303225806451613,0.05504587155963303,0.08256880733944955
85,9861,206,13493,200,20150,0.510620347394541,0.33037220843672455,0.05504587155963303,0.08256880733944955
86,9861,206,13494,198,20150,0.510620347394541,0.3303225806451613,0.05504587155963303,0.09174311926605505
87,9861,206,13495,197,20150,0.510620347394541,0.33027295285359803,0.05504587155963303,0.0963302752293578
88,9861,206,13494,198,20150,0.510620347394541,0.3303225806451613,0.05504587155963303,0.09174311926605505
89,9861,206,13495,196,20150,0.510620347394541,0.33027295285359803,0.05504587155963303,0.10091743119266056
90,9861,206,13495,196,20150,0.510620347394541,0.33027295285359803,0.05504587155963303,0.10091743119266056
91,9861,206,12586,197,20150,0.510620347394541,0.37538461538461537,0.05504587155963303,0.0963302752293578
92,9861,206,12586,197,20150,0.510620347394541,0.37538461538461537,0.05504587155963303,0.0963302752293578
93,9861,206,12586,197,20150,0.510620347394541,0.37538461538461537,0.05504587155963303,0.0963302752293578
94,9861,206,12586,197,20150,0.510620347394541,0.37538461538461537,0.05504587155963303,0.0963302752293578
95,9861,206,12587,199,20150,0.510620347394541,0.3753349875930521,0.05504587155963303,0.0871559633027523
96,9861,206,12586,199,20150,0.510620347394541,0.37538461538461537,0.05504587155963303,0.0871559633027523
97,9861,206,12585,198,20150,0.510620347394541,0.3754342431761787,0.05504587155963303,0.09174311926605505
98,9861,206,11676,199,20150,0.510620347394541,0.420545905707196,0.05504587155963303,0.0871559633027523
99,9861,206,11677,198,20150,0.510620347394541,0.42049627791563277,0.05504587155963303,0.09174311926605505
100,9861,206,11678,197,20150,0.510620347394541,0.42044665012406945,0.05504587155963303,0.0963302752293578
101,9861,206,11678,197,20150,0.510620347394541,0.42044665012406945,0.05504587155963303,0.0963302752293578
102,9861,206,11679,195,20150,0.510620347394541,0.4203970223325062,0.05504587155963303,0.10550458715596331
103,9861,206,11680,195,20150,0.510620347394541,0.42034739454094294,0.05504587155963303,0.10550458715596331
104,9861,206,11679,195,20150,0.510620347394541,0.4203970223325062,0.05504587155963303,0.10550458715596331
105,9861,206,11679,195,20150,0.510620347394541,0.4203970223325062,0.05504587155963303,0.10550458715596331
106,9861,206,11679,195,20150,0.510620347394541,0.4203970223325062,0.05504587155963303,0.10550458715596331
107,9861,206,11680,194,20150,0.510620347394541,0.42034739454094294,0.05504587155963303,0.11009174311926606
108,9861,206,11681,192,20150,0.510620347394541,0.42029776674937963,0.05504587155963303,0.11926605504587157
109,9861,206,12590,193,20150,0.510620347394541,0.3751861042183623,0.05504587155963303,0.11467889908256881
110,9861,206,12589,193,20150,0.510620347394541,0.37523573200992555,0.05504587155963303,0.11467889908256881
111,9861,206,12589,193,20150,0.510620347394541,0.37523573200992555,0.05504587155963303,0.11467889908256881
112,9861,206,12590,194,20150,0.510620347394541,0.3751861042183623,0.05504587155963303,0.11009174311926606
113,9861,206,11984,191,20150,0.510620347394541,0.4052605459057072,0.05504587155963303,0.12385321100917432
114,9861,206,11983,192,20150,0.510620347394541,0.40531017369727046,0.05504587155963303,0.11926605504587157
115,9861,206,11074,193,20150,0.510620347394541,0.45042183622828785,0.05504587155963303,0.11467889908256881
116,9861,206,11074,193,20150,0.510620347394541,0.45042183622828785,0.05504587155963303,0.11467889908256881
117,9861,206,10165,191,20150,0.510620347394541,0.4955334987593052,0.05504587155963303,0.12385321100917432
