total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
0,3323,60,3323,60,6829,0.5133987406648118,0.5133987406648118,0.15492957746478872,0.15492957746478872
1,3323,60,3323,60,6829,0.5133987406648118,0.5133987406648118,0.15492957746478872,0.15492957746478872
2,3696,61,3696,61,6829,0.4587787377361254,0.4587787377361254,0.14084507042253522,0.14084507042253522
3,3696,61,3715,60,6829,0.4587787377361254,0.4559964855762191,0.14084507042253522,0.15492957746478872
4,3696,61,3715,60,6829,0.4587787377361254,0.4559964855762191,0.14084507042253522,0.15492957746478872
5,4191,62,4191,62,6829,0.38629374725435645,0.38629374725435645,0.1267605633802817,0.1267605633802817
6,4191,62,4468,61,6829,0.38629374725435645,0.34573143944940693,0.1267605633802817,0.14084507042253522
7,4191,62,4468,61,6829,0.38629374725435645,0.34573143944940693,0.1267605633802817,0.14084507042253522
8,4191,62,4468,61,6829,0.38629374725435645,0.34573143944940693,0.1267605633802817,0.14084507042253522
9,4191,62,4695,58,6829,0.38629374725435645,0.31249084785473713,0.1267605633802817,0.18309859154929578
10,4191,62,4411,58,6829,0.38629374725435645,0.35407819592912576,0.1267605633802817,0.18309859154929578
11,4191,62,4410,61,6829,0.38629374725435645,0.3542246302533314,0.1267605633802817,0.14084507042253522
12,5080,65,5080,65,6829,0.25611363303558354,0.25611363303558354,0.08450704225352113,0.08450704225352113
13,5080,65,5080,65,6829,0.25611363303558354,0.25611363303558354,0.08450704225352113,0.08450704225352113
14,5080,65,5584,64,6829,0.25611363303558354,0.18231073363596428,0.08450704225352113,0.09859154929577464
15,5080,65,5201,64,6829,0.25611363303558354,0.23839507980670668,0.08450704225352113,0.09859154929577464
16,5080,65,4924,64,6829,0.25611363303558354,0.27895738761165617,0.08450704225352113,0.09859154929577464
17,5080,65,5307,64,6829,0.25611363303558354,0.22287304144091374,0.08450704225352113,0.09859154929577464
18,5080,65,5307,64,6829,0.25611363303558354,0.22287304144091374,0.08450704225352113,0.09859154929577464
19,5080,65,5007,64,6829,0.25611363303558354,0.2668033387025919,0.08450704225352113,0.09859154929577464
20,5080,65,5007,64,6829,0.25611363303558354,0.2668033387025919,0.08450704225352113,0.09859154929577464
21,5080,65,4311,61,6829,0.25611363303558354,0.3687216283496852,0.08450704225352113,0.14084507042253522
22,5080,65,4312,61,6829,0.25611363303558354,0.36857519402547956,0.08450704225352113,0.14084507042253522
23,5080,65,4612,62,6829,0.25611363303558354,0.3246448967638014,0.08450704225352113,0.1267605633802817
24,5090,65,5090,65,6829,0.2546492897935276,0.2546492897935276,0.08450704225352113,0.08450704225352113
25,5090,65,5090,65,6829,0.2546492897935276,0.2546492897935276,0.08450704225352113,0.08450704225352113
26,5090,65,5090,65,6829,0.2546492897935276,0.2546492897935276,0.08450704225352113,0.08450704225352113
27,5090,65,4920,64,6829,0.2546492897935276,0.27954312490847855,0.08450704225352113,0.09859154929577464
28,5090,65,4920,64,6829,0.2546492897935276,0.27954312490847855,0.08450704225352113,0.09859154929577464
29,5090,65,4416,64,6829,0.2546492897935276,0.3533460243080978,0.08450704225352113,0.09859154929577464
30,5090,65,4416,64,6829,0.2546492897935276,0.3533460243080978,0.08450704225352113,0.09859154929577464
31,5090,65,4116,62,6829,0.2546492897935276,0.39727632156977594,0.08450704225352113,0.1267605633802817
32,5090,65,4116,62,6829,0.2546492897935276,0.39727632156977594,0.08450704225352113,0.1267605633802817
33,5090,65,4286,63,6829,0.2546492897935276,0.372382486454825,0.08450704225352113,0.11267605633802817
34,5090,65,3903,62,6829,0.2546492897935276,0.42846683262556745,0.08450704225352113,0.1267605633802817
