total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
0,64478,62,64478,62,95341,0.32371172947630084,0.32371172947630084,0.1267605633802817,0.1267605633802817
1,77034,65,77034,65,95341,0.19201602668316883,0.19201602668316883,0.08450704225352113,0.08450704225352113
2,77034,65,76914,61,95341,0.19201602668316883,0.19327466672260624,0.08450704225352113,0.14084507042253522
3,77034,65,65588,59,95341,0.19201602668316883,0.31206930911150504,0.08450704225352113,0.16901408450704225
4,77034,65,72422,59,95341,0.19201602668316883,0.24038975886554578,0.08450704225352113,0.16901408450704225
5,77034,65,79786,59,95341,0.19201602668316883,0.1631512151120714,0.08450704225352113,0.16901408450704225
6,77034,65,79786,59,95341,0.19201602668316883,0.1631512151120714,0.08450704225352113,0.16901408450704225
7,77034,65,79786,59,95341,0.19201602668316883,0.1631512151120714,0.08450704225352113,0.16901408450704225
8,77034,65,85350,60,95341,0.19201602668316883,0.10479227195015785,0.08450704225352113,0.15492957746478872
9,77034,65,79337,62,95341,0.19201602668316883,0.1678606265929663,0.08450704225352113,0.1267605633802817
10,77034,65,73677,58,95341,0.19201602668316883,0.22722648178642976,0.08450704225352113,0.18309859154929578
11,77034,65,79690,56,95341,0.19201602668316883,0.16415812714362132,0.08450704225352113,0.2112676056338028
12,77034,65,72326,56,95341,0.19201602668316883,0.24139667089709568,0.08450704225352113,0.2112676056338028
13,77034,65,79690,56,95341,0.19201602668316883,0.16415812714362132,0.08450704225352113,0.2112676056338028
14,77034,65,72856,58,95341,0.19201602668316883,0.23583767738958056,0.08450704225352113,0.18309859154929578
15,77034,65,72880,58,95341,0.19201602668316883,0.23558594938169308,0.08450704225352113,0.18309859154929578
16,77034,65,72880,58,95341,0.19201602668316883,0.23558594938169308,0.08450704225352113,0.18309859154929578
17,77034,65,72880,58,95341,0.19201602668316883,0.23558594938169308,0.08450704225352113,0.18309859154929578
18,77034,65,73698,62,95341,0.19201602668316883,0.22700621977952823,0.08450704225352113,0.1267605633802817
19,77034,65,73698,62,95341,0.19201602668316883,0.22700621977952823,0.08450704225352113,0.1267605633802817
20,77034,65,79358,64,95341,0.19201602668316883,0.16764036458606477,0.08450704225352113,0.09859154929577464
21,77034,65,79358,64,95341,0.19201602668316883,0.16764036458606477,0.08450704225352113,0.09859154929577464
22,71332,66,71332,66,95341,0.25182240589043536,0.25182240589043536,0.07042253521126761,0.07042253521126761
23,71332,66,71332,66,95341,0.25182240589043536,0.25182240589043536,0.07042253521126761,0.07042253521126761
24,71452,68,71452,68,95341,0.250563765850998,0.250563765850998,0.04225352112676056,0.04225352112676056
25,71452,68,71452,68,95341,0.250563765850998,0.250563765850998,0.04225352112676056,0.04225352112676056
26,78286,70,78286,70,95341,0.17888421560503875,0.17888421560503875,0.014084507042253521,0.014084507042253521
27,78286,70,86240,68,95341,0.17888421560503875,0.09545735832433055,0.014084507042253521,0.04225352112676056
28,78286,70,86120,66,95341,0.17888421560503875,0.09671599836376794,0.014084507042253521,0.07042253521126761
29,78286,70,86102,60,95341,0.17888421560503875,0.09690479436968355,0.014084507042253521,0.15492957746478872
30,78286,70,91169,60,95341,0.17888421560503875,0.043758718704439856,0.014084507042253521,0.15492957746478872
31,78286,70,91145,59,95341,0.17888421560503875,0.04401044671232733,0.014084507042253521,0.16901408450704225
32,78286,70,85132,62,95341,0.17888421560503875,0.10707880135513577,0.014084507042253521,0.1267605633802817
33,78286,70,85132,62,95341,0.17888421560503875,0.10707880135513577,0.014084507042253521,0.1267605633802817
34,78286,70,85132,62,95341,0.17888421560503875,0.10707880135513577,0.014084507042253521,0.1267605633802817
35,78286,70,93158,63,95341,0.17888421560503875,0.022896760050765148,0.014084507042253521,0.11267605633802817
36,78286,70,93278,64,95341,0.17888421560503875,0.021638120011327762,0.014084507042253521,0.09859154929577464
37,78286,70,93278,64,95341,0.17888421560503875,0.021638120011327762,0.014084507042253521,0.09859154929577464
38,78286,70,93278,64,95341,0.17888421560503875,0.021638120011327762,0.014084507042253521,0.09859154929577464
39,78286,70,93278,64,95341,0.17888421560503875,0.021638120011327762,0.014084507042253521,0.09859154929577464
40,78286,70,87031,64,95341,0.17888421560503875,0.08716082273103912,0.014084507042253521,0.09859154929577464
41,78286,70,89996,64,95341,0.17888421560503875,0.05606192508994032,0.014084507042253521,0.09859154929577464
42,78286,70,96243,64,95341,0.17888421560503875,0.009460777629771032,0.014084507042253521,0.09859154929577464
43,78286,70,96267,65,95341,0.17888421560503875,0.00971250563765851,0.014084507042253521,0.08450704225352113
44,78286,70,96147,63,95341,0.17888421560503875,0.008453865598221122,0.014084507042253521,0.11267605633802817
45,78286,70,96147,63,95341,0.17888421560503875,0.008453865598221122,0.014084507042253521,0.11267605633802817
46,78286,70,96147,63,95341,0.17888421560503875,0.008453865598221122,0.014084507042253521,0.11267605633802817
47,78286,70,88193,64,95341,0.17888421560503875,0.07497299168248707,0.014084507042253521,0.09859154929577464
48,78286,70,88193,64,95341,0.17888421560503875,0.07497299168248707,0.014084507042253521,0.09859154929577464
49,78286,70,88193,64,95341,0.17888421560503875,0.07497299168248707,0.014084507042253521,0.09859154929577464
50,78286,70,88193,64,95341,0.17888421560503875,0.07497299168248707,0.014084507042253521,0.09859154929577464
