total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
0,3669,77,3669,77,5403,0.3209328151027207,0.3209328151027207,0.15384615384615385,0.15384615384615385
1,3363,79,3363,79,5403,0.3775680177679067,0.3775680177679067,0.13186813186813187,0.13186813186813187
2,2650,83,2650,83,5403,0.5095317416250231,0.5095317416250231,0.08791208791208792,0.08791208791208792
3,2650,83,2650,83,5403,0.5095317416250231,0.5095317416250231,0.08791208791208792,0.08791208791208792
4,2650,83,2650,83,5403,0.5095317416250231,0.5095317416250231,0.08791208791208792,0.08791208791208792
5,3363,84,3363,84,5403,0.3775680177679067,0.3775680177679067,0.07692307692307693,0.07692307692307693
6,3363,84,4076,83,5403,0.3775680177679067,0.2456042939107903,0.07692307692307693,0.08791208791208792
7,4077,86,4077,86,5403,0.24541921154913937,0.24541921154913937,0.054945054945054944,0.054945054945054944
8,4077,86,4078,83,5403,0.24541921154913937,0.24523412918748844,0.054945054945054944,0.08791208791208792
9,4077,86,3263,84,5403,0.24541921154913937,0.39607625393300017,0.054945054945054944,0.07692307692307693
10,4077,86,3263,84,5403,0.24541921154913937,0.39607625393300017,0.054945054945054944,0.07692307692307693
11,4077,86,3161,82,5403,0.24541921154913937,0.41495465482139554,0.054945054945054944,0.0989010989010989
12,4077,86,3874,83,5403,0.24541921154913937,0.28299093096427913,0.054945054945054944,0.08791208791208792
13,4077,86,3874,83,5403,0.24541921154913937,0.28299093096427913,0.054945054945054944,0.08791208791208792
14,4077,86,3874,83,5403,0.24541921154913937,0.28299093096427913,0.054945054945054944,0.08791208791208792
15,4077,86,3873,80,5403,0.24541921154913937,0.28317601332593006,0.054945054945054944,0.12087912087912088
16,4077,86,3874,81,5403,0.24541921154913937,0.28299093096427913,0.054945054945054944,0.10989010989010989
17,4077,86,3263,82,5403,0.24541921154913937,0.39607625393300017,0.054945054945054944,0.0989010989010989
