total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
0,5314,191,5314,191,20150,0.7362779156327544,0.7362779156327544,0.12385321100917432,0.12385321100917432
1,5313,192,5313,192,20150,0.7363275434243176,0.7363275434243176,0.11926605504587157,0.11926605504587157
2,5313,192,5313,192,20150,0.7363275434243176,0.7363275434243176,0.11926605504587157,0.11926605504587157
3,6222,192,6222,192,20150,0.6912158808933002,0.6912158808933002,0.11926605504587157,0.11926605504587157
4,5767,195,5767,195,20150,0.7137965260545905,0.7137965260545905,0.10550458715596331,0.10550458715596331
5,5767,195,5767,195,20150,0.7137965260545905,0.7137965260545905,0.10550458715596331,0.10550458715596331
6,5767,195,5766,194,20150,0.7137965260545905,0.7138461538461538,0.10550458715596331,0.11009174311926606
7,5767,195,5767,191,20150,0.7137965260545905,0.7137965260545905,0.10550458715596331,0.12385321100917432
8,5767,195,5768,189,20150,0.7137965260545905,0.7137468982630273,0.10550458715596331,0.13302752293577982
9,5767,195,5769,188,20150,0.7137965260545905,0.713697270471464,0.10550458715596331,0.13761467889908258
10,5767,195,6678,189,20150,0.7137965260545905,0.6685856079404466,0.10550458715596331,0.13302752293577982
11,5767,195,6679,188,20150,0.7137965260545905,0.6685359801488834,0.10550458715596331,0.13761467889908258
12,5767,195,6680,186,20150,0.7137965260545905,0.6684863523573201,0.10550458715596331,0.14678899082568808
13,5767,195,6377,184,20150,0.7137965260545905,0.6835235732009926,0.10550458715596331,0.1559633027522936
14,5767,195,6378,184,20150,0.7137965260545905,0.6834739454094293,0.10550458715596331,0.1559633027522936
15,5767,195,5469,185,20150,0.7137965260545905,0.7285856079404467,0.10550458715596331,0.15137614678899083
16,5767,195,5772,187,20150,0.7137965260545905,0.7135483870967742,0.10550458715596331,0.14220183486238533
17,5767,195,5772,187,20150,0.7137965260545905,0.7135483870967742,0.10550458715596331,0.14220183486238533
18,5767,195,6681,187,20150,0.7137965260545905,0.6684367245657569,0.10550458715596331,0.14220183486238533
19,5767,195,5772,186,20150,0.7137965260545905,0.7135483870967742,0.10550458715596331,0.14678899082568808
20,5767,195,6681,188,20150,0.7137965260545905,0.6684367245657569,0.10550458715596331,0.13761467889908258
21,5767,195,6681,188,20150,0.7137965260545905,0.6684367245657569,0.10550458715596331,0.13761467889908258
22,5767,195,6681,188,20150,0.7137965260545905,0.6684367245657569,0.10550458715596331,0.13761467889908258
23,5767,195,6682,187,20150,0.7137965260545905,0.6683870967741935,0.10550458715596331,0.14220183486238533
24,5767,195,7591,187,20150,0.7137965260545905,0.6232754342431762,0.10550458715596331,0.14220183486238533
25,5767,195,8500,189,20150,0.7137965260545905,0.5781637717121588,0.10550458715596331,0.13302752293577982
26,5767,195,8197,190,20150,0.7137965260545905,0.5932009925558313,0.10550458715596331,0.12844036697247707
27,5767,195,8196,189,20150,0.7137965260545905,0.5932506203473945,0.10550458715596331,0.13302752293577982
28,5767,195,9105,189,20150,0.7137965260545905,0.5481389578163772,0.10550458715596331,0.13302752293577982
29,5767,195,8196,190,20150,0.7137965260545905,0.5932506203473945,0.10550458715596331,0.12844036697247707
30,5767,195,8196,190,20150,0.7137965260545905,0.5932506203473945,0.10550458715596331,0.12844036697247707
31,5767,195,8197,189,20150,0.7137965260545905,0.5932009925558313,0.10550458715596331,0.13302752293577982
32,5767,195,9106,193,20150,0.7137965260545905,0.5480893300248139,0.10550458715596331,0.11467889908256881
33,5767,195,9107,193,20150,0.7137965260545905,0.5480397022332506,0.10550458715596331,0.11467889908256881
34,5767,195,9106,191,20150,0.7137965260545905,0.5480893300248139,0.10550458715596331,0.12385321100917432
35,5767,195,10015,191,20150,0.7137965260545905,0.5029776674937966,0.10550458715596331,0.12385321100917432
36,5767,195,10924,192,20150,0.7137965260545905,0.4578660049627792,0.10550458715596331,0.11926605504587157
37,5767,195,10923,192,20150,0.7137965260545905,0.45791563275434244,0.10550458715596331,0.11926605504587157
38,5767,195,11680,193,20150,0.7137965260545905,0.42034739454094294,0.10550458715596331,0.11467889908256881
39,5767,195,10771,194,20150,0.7137965260545905,0.4654590570719603,0.10550458715596331,0.11009174311926606
40,5767,195,10771,194,20150,0.7137965260545905,0.4654590570719603,0.10550458715596331,0.11009174311926606
41,5767,195,11226,192,20150,0.7137965260545905,0.44287841191066996,0.10550458715596331,0.11926605504587157
