total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
0,2141,60,2141,60,6829,0.6864841118758237,0.6864841118758237,0.15492957746478872,0.15492957746478872
1,2811,64,2811,64,6829,0.5883731146580758,0.5883731146580758,0.09859154929577464,0.09859154929577464
2,2811,64,2830,62,6829,0.5883731146580758,0.5855908624981696,0.09859154929577464,0.1267605633802817
3,2811,64,2497,61,6829,0.5883731146580758,0.6343534924586323,0.09859154929577464,0.14084507042253522
4,2811,64,2830,62,6829,0.5883731146580758,0.5855908624981696,0.09859154929577464,0.1267605633802817
5,2811,64,2553,64,6829,0.5883731146580758,0.626153170303119,0.09859154929577464,0.09859154929577464
6,2811,64,2269,63,6829,0.5883731146580758,0.6677405183775077,0.09859154929577464,0.11267605633802817
7,2811,64,2269,63,6829,0.5883731146580758,0.6677405183775077,0.09859154929577464,0.11267605633802817
8,2811,64,2269,63,6829,0.5883731146580758,0.6677405183775077,0.09859154929577464,0.11267605633802817
9,2965,64,2965,64,6829,0.5658222287304144,0.5658222287304144,0.09859154929577464,0.09859154929577464
10,2946,65,2946,65,6829,0.5686044808903207,0.5686044808903207,0.08450704225352113,0.08450704225352113
11,3422,66,3422,66,6829,0.49890174256845804,0.49890174256845804,0.07042253521126761,0.07042253521126761
12,3959,67,3959,67,6829,0.4202665104700542,0.4202665104700542,0.056338028169014086,0.056338028169014086
13,3959,67,3959,67,6829,0.4202665104700542,0.4202665104700542,0.056338028169014086,0.056338028169014086
14,3959,67,3959,67,6829,0.4202665104700542,0.4202665104700542,0.056338028169014086,0.056338028169014086
15,3959,67,3422,66,6829,0.4202665104700542,0.49890174256845804,0.056338028169014086,0.07042253521126761
16,3959,67,3900,66,6829,0.4202665104700542,0.4289061355981842,0.056338028169014086,0.07042253521126761
17,4437,67,4437,67,6829,0.35027090349978035,0.35027090349978035,0.056338028169014086,0.056338028169014086
18,4721,68,4721,68,6829,0.3086835554253917,0.3086835554253917,0.04225352112676056,0.04225352112676056
19,4721,68,4721,68,6829,0.3086835554253917,0.3086835554253917,0.04225352112676056,0.04225352112676056
20,4721,68,4721,68,6829,0.3086835554253917,0.3086835554253917,0.04225352112676056,0.04225352112676056
21,4721,68,4721,68,6829,0.3086835554253917,0.3086835554253917,0.04225352112676056,0.04225352112676056
22,4721,68,4721,68,6829,0.3086835554253917,0.3086835554253917,0.04225352112676056,0.04225352112676056
23,4721,68,4721,68,6829,0.3086835554253917,0.3086835554253917,0.04225352112676056,0.04225352112676056
24,4721,68,4275,68,6829,0.3086835554253917,0.37399326402108657,0.04225352112676056,0.04225352112676056
25,4721,68,4275,68,6829,0.3086835554253917,0.37399326402108657,0.04225352112676056,0.04225352112676056
26,4721,68,4502,67,6829,0.3086835554253917,0.34075267242641677,0.04225352112676056,0.056338028169014086
27,4721,68,4502,67,6829,0.3086835554253917,0.34075267242641677,0.04225352112676056,0.056338028169014086
28,4501,70,4501,70,6829,0.34089910675062235,0.34089910675062235,0.014084507042253521,0.014084507042253521
29,4501,70,4501,70,6829,0.34089910675062235,0.34089910675062235,0.014084507042253521,0.014084507042253521
30,4501,70,4501,70,6829,0.34089910675062235,0.34089910675062235,0.014084507042253521,0.014084507042253521
31,4501,70,4501,70,6829,0.34089910675062235,0.34089910675062235,0.014084507042253521,0.014084507042253521
32,4501,70,4501,70,6829,0.34089910675062235,0.34089910675062235,0.014084507042253521,0.014084507042253521
33,4501,70,4501,70,6829,0.34089910675062235,0.34089910675062235,0.014084507042253521,0.014084507042253521
34,4217,71,4217,71,6829,0.382486454825011,0.382486454825011,0.0,0.0
35,4217,71,4218,67,6829,0.382486454825011,0.3823400205008054,0.0,0.056338028169014086
36,4217,71,4218,67,6829,0.382486454825011,0.3823400205008054,0.0,0.056338028169014086
37,4217,71,4591,67,6829,0.382486454825011,0.3277200175721189,0.0,0.056338028169014086
38,4217,71,4591,67,6829,0.382486454825011,0.3277200175721189,0.0,0.056338028169014086
39,4217,71,4591,67,6829,0.382486454825011,0.3277200175721189,0.0,0.056338028169014086
40,4217,71,3921,65,6829,0.382486454825011,0.42583101478986674,0.0,0.08450704225352113
41,4217,71,3921,65,6829,0.382486454825011,0.42583101478986674,0.0,0.08450704225352113
42,4217,71,3921,65,6829,0.382486454825011,0.42583101478986674,0.0,0.08450704225352113
43,4217,71,3921,65,6829,0.382486454825011,0.42583101478986674,0.0,0.08450704225352113
44,4217,71,4317,66,6829,0.382486454825011,0.3678430224044516,0.0,0.07042253521126761
45,4217,71,4487,66,6829,0.382486454825011,0.34294918728950063,0.0,0.07042253521126761
46,4217,71,4487,66,6829,0.382486454825011,0.34294918728950063,0.0,0.07042253521126761
47,4217,71,4487,66,6829,0.382486454825011,0.34294918728950063,0.0,0.07042253521126761
48,4217,71,3950,65,6829,0.382486454825011,0.42158441938790453,0.0,0.08450704225352113
49,4217,71,3950,65,6829,0.382486454825011,0.42158441938790453,0.0,0.08450704225352113
50,4217,71,3254,63,6829,0.382486454825011,0.5235027090349978,0.0,0.11267605633802817
51,4217,71,2881,62,6829,0.382486454825011,0.5781227119636843,0.0,0.1267605633802817
52,4217,71,3158,60,6829,0.382486454825011,0.5375604041587349,0.0,0.15492957746478872
53,4217,71,3531,61,6829,0.382486454825011,0.48294040123004833,0.0,0.14084507042253522
54,4217,71,3550,56,6829,0.382486454825011,0.48015814907014204,0.0,0.2112676056338028
55,4217,71,3550,56,6829,0.382486454825011,0.48015814907014204,0.0,0.2112676056338028
56,4217,71,3177,57,6829,0.382486454825011,0.5347781519988285,0.0,0.19718309859154928
57,4217,71,2781,58,6829,0.382486454825011,0.5927661443842437,0.0,0.18309859154929578
58,4217,71,2781,58,6829,0.382486454825011,0.5927661443842437,0.0,0.18309859154929578
59,4217,71,2762,60,6829,0.382486454825011,0.5955483965441499,0.0,0.15492957746478872
60,4217,71,3458,61,6829,0.382486454825011,0.49363010689705666,0.0,0.14084507042253522
61,4217,71,2982,60,6829,0.382486454825011,0.5633328452189194,0.0,0.15492957746478872
62,4217,71,2705,62,6829,0.382486454825011,0.6038951530238688,0.0,0.1267605633802817
63,4217,71,2704,66,6829,0.382486454825011,0.6040415873480743,0.0,0.07042253521126761
64,4217,71,2704,66,6829,0.382486454825011,0.6040415873480743,0.0,0.07042253521126761
65,4217,71,3374,69,6829,0.382486454825011,0.5059305901303266,0.0,0.028169014084507043
66,4217,71,3820,68,6829,0.382486454825011,0.4406208815346317,0.0,0.04225352112676056
67,4217,71,4097,68,6829,0.382486454825011,0.40005857372968223,0.0,0.04225352112676056
68,4217,71,4098,63,6829,0.382486454825011,0.39991213940547665,0.0,0.11267605633802817
69,4217,71,4574,65,6829,0.382486454825011,0.330209401083614,0.0,0.08450704225352113
70,4217,71,4858,64,6829,0.382486454825011,0.2886220530092254,0.0,0.09859154929577464
71,4217,71,5254,66,6829,0.382486454825011,0.23063406062381023,0.0,0.07042253521126761
72,4217,71,5758,66,6829,0.382486454825011,0.15683116122419094,0.0,0.07042253521126761
73,4217,71,5758,66,6829,0.382486454825011,0.15683116122419094,0.0,0.07042253521126761
74,4217,71,5758,66,6829,0.382486454825011,0.15683116122419094,0.0,0.07042253521126761
75,4217,71,5758,66,6829,0.382486454825011,0.15683116122419094,0.0,0.07042253521126761
76,4217,71,5481,68,6829,0.382486454825011,0.19739346902914043,0.0,0.04225352112676056
77,4217,71,5481,68,6829,0.382486454825011,0.19739346902914043,0.0,0.04225352112676056
78,4217,71,5481,68,6829,0.382486454825011,0.19739346902914043,0.0,0.04225352112676056
79,4217,71,5481,68,6829,0.382486454825011,0.19739346902914043,0.0,0.04225352112676056
80,4217,71,5481,68,6829,0.382486454825011,0.19739346902914043,0.0,0.04225352112676056
81,4217,71,5481,68,6829,0.382486454825011,0.19739346902914043,0.0,0.04225352112676056
82,4217,71,5481,68,6829,0.382486454825011,0.19739346902914043,0.0,0.04225352112676056
83,4217,71,6018,69,6829,0.382486454825011,0.11875823693073656,0.0,0.028169014084507043
84,4217,71,6018,69,6829,0.382486454825011,0.11875823693073656,0.0,0.028169014084507043
85,4217,71,6018,69,6829,0.382486454825011,0.11875823693073656,0.0,0.028169014084507043
86,4217,71,6018,69,6829,0.382486454825011,0.11875823693073656,0.0,0.028169014084507043
87,4217,71,6391,69,6829,0.382486454825011,0.06413823400205008,0.0,0.028169014084507043
88,4217,71,6391,69,6829,0.382486454825011,0.06413823400205008,0.0,0.028169014084507043
89,4217,71,6391,69,6829,0.382486454825011,0.06413823400205008,0.0,0.028169014084507043
90,4217,71,6391,69,6829,0.382486454825011,0.06413823400205008,0.0,0.028169014084507043
91,4217,71,6391,69,6829,0.382486454825011,0.06413823400205008,0.0,0.028169014084507043
92,4217,71,6691,69,6829,0.382486454825011,0.020207936740371944,0.0,0.028169014084507043
93,4217,71,6691,69,6829,0.382486454825011,0.020207936740371944,0.0,0.028169014084507043
94,4217,71,6691,69,6829,0.382486454825011,0.020207936740371944,0.0,0.028169014084507043
95,4217,71,6691,69,6829,0.382486454825011,0.020207936740371944,0.0,0.028169014084507043
96,4217,71,6691,69,6829,0.382486454825011,0.020207936740371944,0.0,0.028169014084507043
97,4217,71,6521,69,6829,0.382486454825011,0.04510177185532289,0.0,0.028169014084507043
98,4217,71,6075,69,6829,0.382486454825011,0.11041148045101772,0.0,0.028169014084507043
99,4217,71,6075,69,6829,0.382486454825011,0.11041148045101772,0.0,0.028169014084507043
100,4217,71,5848,69,6829,0.382486454825011,0.1436520720456875,0.0,0.028169014084507043
101,4217,71,5564,69,6829,0.382486454825011,0.18523942012007616,0.0,0.028169014084507043
102,4217,71,5564,69,6829,0.382486454825011,0.18523942012007616,0.0,0.028169014084507043
103,4217,71,5147,68,6829,0.382486454825011,0.24630253331380875,0.0,0.04225352112676056
104,4217,71,4847,68,6829,0.382486454825011,0.2902328305754869,0.0,0.04225352112676056
105,4217,71,4847,68,6829,0.382486454825011,0.2902328305754869,0.0,0.04225352112676056
106,4846,71,4846,71,6829,0.2903792648996925,0.2903792648996925,0.0,0.0
107,4846,71,4846,71,6829,0.2903792648996925,0.2903792648996925,0.0,0.0
108,4846,71,4846,71,6829,0.2903792648996925,0.2903792648996925,0.0,0.0
109,5130,71,5130,71,6829,0.24879191682530385,0.24879191682530385,0.0,0.0
110,5130,71,5130,71,6829,0.24879191682530385,0.24879191682530385,0.0,0.0
111,5430,71,5430,71,6829,0.20486161956362572,0.20486161956362572,0.0,0.0
112,5847,71,5847,71,6829,0.1437985063698931,0.1437985063698931,0.0,0.0
113,5847,71,5847,71,6829,0.1437985063698931,0.1437985063698931,0.0,0.0
114,5847,71,5847,71,6829,0.1437985063698931,0.1437985063698931,0.0,0.0
115,5847,71,5847,71,6829,0.1437985063698931,0.1437985063698931,0.0,0.0
116,5847,71,5847,71,6829,0.1437985063698931,0.1437985063698931,0.0,0.0
117,6293,71,6293,71,6829,0.07848879777419827,0.07848879777419827,0.0,0.0
118,6293,71,6293,71,6829,0.07848879777419827,0.07848879777419827,0.0,0.0
119,6293,71,5789,70,6829,0.07848879777419827,0.15229169717381755,0.0,0.014084507042253521
120,6293,71,5456,71,6829,0.07848879777419827,0.2010543271342803,0.0,0.0
121,6293,71,5456,71,6829,0.07848879777419827,0.2010543271342803,0.0,0.0
122,6293,71,5475,67,6829,0.07848879777419827,0.198272074974374,0.0,0.056338028169014086
123,6293,71,5456,71,6829,0.07848879777419827,0.2010543271342803,0.0,0.0
124,6293,71,5456,71,6829,0.07848879777419827,0.2010543271342803,0.0,0.0
125,6293,71,5960,71,6829,0.07848879777419827,0.127251427734661,0.0,0.0
126,6293,71,6130,71,6829,0.07848879777419827,0.10235759261971006,0.0,0.0
127,6463,71,6463,71,6829,0.053594962659247326,0.053594962659247326,0.0,0.0
128,6463,71,6463,71,6829,0.053594962659247326,0.053594962659247326,0.0,0.0
