total_iter,weights_sum_best,is_sat_clauses_best,weights_sum_curr,is_sat_clauses_curr,opt,rel_err_weights_best,rel_err_weights_curr,rel_err_clauses_best,rel_err_clauses_curr
0,82413,63,82413,63,118347,0.3036325382138964,0.3036325382138964,0.11267605633802817,0.11267605633802817
1,82413,63,85341,61,118347,0.3036325382138964,0.27889173363076375,0.11267605633802817,0.14084507042253522
2,82413,63,85341,61,118347,0.3036325382138964,0.27889173363076375,0.11267605633802817,0.14084507042253522
3,79886,64,79886,64,118347,0.3249850017321943,0.3249850017321943,0.09859154929577464,0.09859154929577464
4,79886,64,79886,64,118347,0.3249850017321943,0.3249850017321943,0.09859154929577464,0.09859154929577464
5,79886,64,79886,64,118347,0.3249850017321943,0.3249850017321943,0.09859154929577464,0.09859154929577464
6,79886,64,79886,64,118347,0.3249850017321943,0.3249850017321943,0.09859154929577464,0.09859154929577464
7,76958,66,76958,66,118347,0.34972580631532696,0.34972580631532696,0.07042253521126761,0.07042253521126761
8,70077,67,70077,67,118347,0.4078683870313569,0.4078683870313569,0.056338028169014086,0.056338028169014086
9,70077,67,72614,66,118347,0.4078683870313569,0.3864314262296467,0.056338028169014086,0.07042253521126761
10,70077,67,83616,66,118347,0.4078683870313569,0.2934675150193921,0.056338028169014086,0.07042253521126761
11,70077,67,83616,66,118347,0.4078683870313569,0.2934675150193921,0.056338028169014086,0.07042253521126761
12,81079,67,81079,67,118347,0.31490447582110237,0.31490447582110237,0.056338028169014086,0.056338028169014086
13,81079,67,81080,63,118347,0.31490447582110237,0.3148960260927611,0.056338028169014086,0.11267605633802817
14,81079,67,73975,63,118347,0.31490447582110237,0.3749313459572275,0.056338028169014086,0.11267605633802817
15,81079,67,73975,63,118347,0.31490447582110237,0.3749313459572275,0.056338028169014086,0.11267605633802817
16,81079,67,82302,63,118347,0.31490447582110237,0.3045704580597734,0.056338028169014086,0.11267605633802817
17,81079,67,84433,62,118347,0.31490447582110237,0.2865640869646041,0.056338028169014086,0.1267605633802817
18,81079,67,84433,62,118347,0.31490447582110237,0.2865640869646041,0.056338028169014086,0.1267605633802817
19,81079,67,84433,62,118347,0.31490447582110237,0.2865640869646041,0.056338028169014086,0.1267605633802817
20,81079,67,76167,63,118347,0.31490447582110237,0.35640954143324294,0.056338028169014086,0.11267605633802817
21,81079,67,81622,65,118347,0.31490447582110237,0.3103162733318124,0.056338028169014086,0.08450704225352113
22,81079,67,73295,64,118347,0.31490447582110237,0.3806771612292665,0.056338028169014086,0.09859154929577464
23,81079,67,73295,64,118347,0.31490447582110237,0.3806771612292665,0.056338028169014086,0.09859154929577464
24,81079,67,73295,64,118347,0.31490447582110237,0.3806771612292665,0.056338028169014086,0.09859154929577464
25,81079,67,73295,64,118347,0.31490447582110237,0.3806771612292665,0.056338028169014086,0.09859154929577464
26,81079,67,62293,65,118347,0.31490447582110237,0.4736410724395211,0.056338028169014086,0.08450704225352113
27,81079,67,62293,65,118347,0.31490447582110237,0.4736410724395211,0.056338028169014086,0.08450704225352113
28,81079,67,62293,65,118347,0.31490447582110237,0.4736410724395211,0.056338028169014086,0.08450704225352113
29,81079,67,55416,64,118347,0.31490447582110237,0.5317498542421861,0.056338028169014086,0.09859154929577464
30,81079,67,55416,64,118347,0.31490447582110237,0.5317498542421861,0.056338028169014086,0.09859154929577464
31,81079,67,43831,65,118347,0.31490447582110237,0.62963995707538,0.056338028169014086,0.08450704225352113
32,81079,67,43313,64,118347,0.31490447582110237,0.6340169163561391,0.056338028169014086,0.09859154929577464
33,81079,67,50190,63,118347,0.31490447582110237,0.5759081345534741,0.056338028169014086,0.11267605633802817
34,81079,67,49984,64,118347,0.31490447582110237,0.5776487785917682,0.056338028169014086,0.09859154929577464
35,81079,67,50190,63,118347,0.31490447582110237,0.5759081345534741,0.056338028169014086,0.11267605633802817
36,81079,67,50708,65,118347,0.31490447582110237,0.571531175272715,0.056338028169014086,0.08450704225352113
37,81079,67,50708,65,118347,0.31490447582110237,0.571531175272715,0.056338028169014086,0.08450704225352113
38,81079,67,50707,67,118347,0.31490447582110237,0.5715396250010563,0.056338028169014086,0.056338028169014086
