total_iter,weights_sum,is_sat_clauses
0,9790,63
1,10950,66
2,10947,69
3,10947,69
4,11627,69
5,11627,69
6,11627,69
7,11627,69
8,11627,69
9,11627,69
10,11627,69
11,11627,69
12,12468,69
13,12468,69
14,12468,69
15,12468,69
16,12468,69
17,12468,69
18,12468,69
19,12468,69
20,12468,69
21,12468,69
22,12468,69
23,12468,69
24,12468,69
25,12468,69
26,12468,69
27,12468,69
28,12468,69
29,12495,69
30,12495,69
31,12495,69
32,12495,69
33,13008,69
34,13008,69
35,13008,69
36,13008,69
37,13008,69
38,13008,69
39,13008,69
40,13008,69
41,13008,69
42,13008,69
43,13008,69
44,13008,69
45,13008,69
46,13008,69
47,13008,69
48,12706,70
49,12706,70
50,12706,70
51,12706,70
52,12706,70
53,12706,70
54,12706,70
55,12706,70
56,12706,70
57,12706,70
58,12706,70
59,12706,70
60,12706,70
61,12706,70
62,12706,70
63,12706,70
64,12706,70
65,12706,70
66,12706,70
67,12706,70
68,12706,70
69,12706,70
70,12706,70
71,12706,70
72,12706,70
73,12706,70
74,12706,70
75,12706,70
76,12706,70
77,12706,70
78,12706,70
79,12706,70
80,12706,70
81,12706,70
82,12706,70
83,12706,70
84,12706,70
85,12784,70
86,12784,70
87,12784,70
88,12784,70
89,12784,70
90,12784,70
91,12784,70
92,12784,70
93,12784,70
94,12784,70
95,12784,70
96,12784,70
97,12784,70
98,12784,70
99,12784,70
100,12784,70
101,12784,70
102,12784,70
103,14881,71
104,14881,71
105,14881,71
106,14881,71
107,14881,71
108,14881,71
109,14881,71
110,14881,71
111,14881,71
112,14881,71
113,14881,71
114,14881,71
115,14881,71
116,14881,71
117,14881,71
118,14881,71
119,14881,71
120,14881,71
121,14881,71
122,14881,71
123,14881,71
124,14881,71
125,14881,71
126,14881,71
127,14881,71
128,14881,71
129,14881,71
130,14881,71
131,14881,71
132,14881,71
133,14881,71
134,14881,71
135,14881,71
136,14881,71
137,14881,71
138,14881,71
139,14881,71
140,14881,71
141,14881,71
142,14881,71
143,14881,71
144,14881,71
145,14881,71
146,14881,71
147,14881,71
148,14881,71
149,14881,71
150,14881,71
151,14881,71
152,14881,71
153,14881,71
154,14881,71
155,14881,71
156,14881,71
157,14881,71
158,14881,71
159,14881,71
160,14881,71
161,14881,71
162,14881,71
163,14881,71
164,14881,71
165,14881,71
166,14881,71
167,14881,71
168,14881,71
169,14881,71
170,14881,71
171,14881,71
172,14881,71
173,14881,71
174,14881,71
175,14881,71
176,14881,71
177,14881,71
178,14881,71
179,14881,71
180,14881,71
181,14881,71
182,14881,71
183,14881,71
184,14881,71
185,14881,71
186,14881,71
187,14881,71
188,14881,71
189,14881,71
190,14881,71
191,14881,71
192,14881,71
193,14881,71
194,14881,71
195,14881,71
196,14881,71
197,14881,71
198,14881,71
199,14881,71
200,14881,71
201,14881,71
202,14881,71
203,14881,71
204,14881,71
205,14881,71
206,14881,71
207,14881,71
208,14881,71
209,14881,71
210,14881,71
211,14881,71
212,14881,71
213,14881,71
214,14881,71
215,14881,71
216,14881,71
217,14881,71
218,14881,71
219,14881,71
220,14881,71
221,14881,71
222,14881,71
223,14881,71
224,14881,71
225,14881,71
226,14881,71
227,14881,71
228,14881,71
229,14881,71
230,14881,71
231,14881,71
232,14881,71
233,14881,71
234,14881,71
235,14881,71
236,14881,71
237,14881,71
238,14881,71
239,14881,71
240,14881,71
241,14881,71
242,14881,71
243,14881,71
244,14881,71
245,14881,71
246,14881,71
247,14881,71
248,14881,71
249,14881,71
250,14881,71
251,14881,71
252,14881,71
253,14881,71
254,14881,71
255,14881,71
256,14881,71
257,14881,71
258,14881,71
259,14881,71
260,14881,71
261,14881,71
262,14881,71
263,14881,71
264,14881,71
265,14881,71
266,14881,71
267,14881,71
268,14881,71
269,14881,71
270,14881,71
271,14881,71
272,14881,71
273,14881,71
274,14881,71
275,14881,71
276,14881,71
277,14881,71
278,14881,71
279,14881,71
280,14881,71
281,14881,71
282,14881,71
283,14881,71
284,14881,71
285,14881,71
286,14881,71
287,14881,71
288,14881,71
289,14881,71
290,14881,71
291,14881,71
292,14881,71
293,14881,71
294,14881,71
295,14881,71
296,14881,71
297,14881,71
298,14881,71
299,14881,71
300,14881,71
301,14881,71
302,14881,71
303,14881,71
304,14881,71
305,14881,71
306,14881,71
307,14881,71
308,14881,71
309,14881,71
310,14881,71
311,14881,71
312,14881,71
313,14881,71
314,14881,71
315,14881,71
316,14881,71
317,14881,71
318,14881,71
319,14881,71
320,14881,71
321,14881,71
322,14881,71
323,14881,71
324,14881,71
325,14881,71
326,14881,71
327,14881,71
328,14881,71
329,14881,71
330,14881,71
331,14881,71
332,14881,71
333,14881,71
334,14881,71
335,14881,71
336,14881,71
337,14881,71
338,14881,71
339,14881,71
340,14881,71
341,14881,71
342,14881,71
343,14881,71
344,14881,71
345,14881,71
346,14881,71
347,14881,71
348,14881,71
349,14881,71
350,14881,71
351,14881,71
352,14881,71
353,14881,71
354,14881,71
355,14881,71
356,14881,71
357,14881,71
358,14881,71
359,14881,71
360,14881,71
361,14881,71
362,14881,71
363,14881,71
364,14881,71
365,14881,71
366,14881,71
367,14881,71
368,14881,71
369,14881,71
370,14881,71
371,14881,71
372,14881,71
373,14881,71
374,14881,71
375,14881,71
376,14881,71
377,14881,71
378,14881,71
379,14881,71
380,14881,71
381,14881,71
382,14881,71
383,14881,71
384,14881,71
385,14881,71
386,14881,71
387,14881,71
388,14881,71
389,14881,71
390,14881,71
391,14881,71
392,14881,71
393,14881,71
394,14881,71
395,14881,71
396,14881,71
397,14881,71
398,14881,71
399,14881,71
400,14881,71
401,14881,71
402,14881,71
403,14881,71
404,14881,71
405,14881,71
406,14881,71
407,14881,71
408,14881,71
409,14881,71
410,14881,71
411,14881,71
412,14881,71
413,14881,71
414,14881,71
415,14881,71
416,14881,71
417,14881,71
418,14881,71
419,14881,71
420,14881,71
421,14881,71
422,14881,71
423,14881,71
424,14881,71
425,14881,71
426,14881,71
427,14881,71
428,14881,71
429,14881,71
430,14881,71
431,14881,71
432,14881,71
433,14881,71
434,14881,71
435,14881,71
436,14881,71
437,14881,71
438,14881,71
439,14881,71
440,14881,71
441,14881,71
442,14881,71
443,14881,71
444,14881,71
445,14881,71
446,14881,71
447,14881,71
448,14881,71
449,14881,71
450,14881,71
451,14881,71
452,14881,71
453,14881,71
454,14881,71
455,14881,71
456,14881,71
457,14881,71
458,14881,71
459,14881,71
460,14881,71
461,14881,71
462,14881,71
463,14881,71
464,14881,71
465,14881,71
466,14881,71
467,14881,71
468,14881,71
469,14881,71
470,14881,71
471,14881,71
472,14881,71
473,14881,71
474,14881,71
475,14881,71
476,14881,71
477,14881,71
478,14881,71
479,14881,71
480,14881,71
481,14881,71
482,14881,71
483,14881,71
484,14881,71
485,14881,71
486,14881,71
487,14881,71
488,14881,71
489,14881,71
490,14881,71
491,14881,71
492,14881,71
493,14881,71
494,14881,71
495,14881,71
496,14881,71
497,14881,71
498,14881,71
499,14881,71
500,14881,71
501,14881,71
502,14881,71
503,14881,71
504,14881,71
505,14881,71
506,14881,71
507,14881,71
508,14881,71
509,14881,71
510,14881,71
511,14881,71
512,14881,71
513,14881,71
514,14881,71
515,14881,71
516,14881,71
517,14881,71
518,14881,71
519,14881,71
520,14881,71
521,14881,71
522,14881,71
523,14881,71
524,14881,71
525,14881,71
526,14881,71
527,14881,71
528,14881,71
529,14881,71
530,14881,71
531,14881,71
532,14881,71
533,14881,71
534,14881,71
535,14881,71
536,14881,71
537,14881,71
538,14881,71
539,14881,71
540,14881,71
541,14881,71
542,14881,71
543,14881,71
544,14881,71
545,14881,71
546,14881,71
547,14881,71
548,14881,71
549,14881,71
550,14881,71
551,14881,71
552,14881,71
553,15483,71
554,15483,71
555,15483,71
556,15483,71
557,15483,71
558,15483,71
559,15483,71
560,15483,71
561,15483,71
562,15483,71
563,15483,71
564,15483,71
565,15483,71
566,15483,71
567,15483,71
568,15483,71
569,15483,71
570,15483,71
571,15483,71
572,15483,71
573,15483,71
574,15483,71
575,15483,71
576,15483,71
577,15483,71
578,15483,71
579,15483,71
580,15483,71
581,15483,71
582,15483,71
583,15483,71
584,15483,71
585,15483,71
586,15483,71
587,15483,71
588,15483,71
589,15483,71
590,15483,71
591,15483,71
592,15483,71
593,15483,71
594,15483,71
595,15483,71
596,15483,71
597,15483,71
598,15483,71
599,15483,71
600,15483,71
601,15483,71
602,15483,71
603,15483,71
604,15483,71
605,15483,71
606,15483,71
607,15483,71
608,15483,71
609,15483,71
610,15483,71
611,15483,71
612,15483,71
613,15483,71
614,15483,71
615,15483,71
616,15483,71
617,15483,71
618,15483,71
619,15483,71
620,15483,71
621,15483,71
622,15483,71
623,15483,71
624,15483,71
625,15483,71
626,15483,71
627,15483,71
628,15483,71
629,15483,71
630,15483,71
631,15483,71
632,15483,71
633,15483,71
634,15483,71
635,15483,71
636,15483,71
637,15483,71
638,15483,71
639,15483,71
640,15483,71
641,15483,71
642,15483,71
643,15483,71
644,15483,71
645,15483,71
646,15483,71
647,15483,71
648,15483,71
649,15483,71
650,15483,71
651,15483,71
652,15483,71
653,15483,71
654,15483,71
655,15483,71
656,15483,71
657,15483,71
658,15483,71
659,15483,71
660,15483,71
661,15483,71
662,15483,71
663,15483,71
664,15483,71
665,15483,71
666,15483,71
667,15483,71
668,15483,71
669,15483,71
670,15483,71
671,15483,71
672,15483,71
673,15483,71
674,15483,71
675,15483,71
676,15483,71
677,15483,71
678,15483,71
679,15483,71
680,15483,71
681,15483,71
682,15483,71
683,15483,71
684,15483,71
685,15483,71
686,15483,71
687,15483,71
688,15483,71
689,15483,71
690,15483,71
691,15483,71
692,15483,71
693,15483,71
694,15483,71
695,15483,71
696,15483,71
697,15483,71
698,15483,71
699,15483,71
700,15483,71
701,15483,71
702,15483,71
703,15483,71
704,15483,71
705,15483,71
706,15483,71
707,15483,71
708,15483,71
709,15483,71
710,15483,71
711,15483,71
712,15483,71
713,15483,71
714,15483,71
715,15483,71
716,15483,71
717,15483,71
718,15483,71
719,15483,71
720,15483,71
721,15483,71
722,15483,71
723,15483,71
724,15483,71
725,15483,71
726,15483,71
727,15483,71
728,15483,71
729,15483,71
730,15483,71
731,15483,71
732,15483,71
733,15483,71
734,15483,71
735,15483,71
736,15483,71
737,15483,71
738,15483,71
739,15483,71
740,15483,71
741,15483,71
742,15483,71
743,15483,71
744,15483,71
745,15483,71
746,15483,71
747,15483,71
748,15483,71
749,15483,71
750,15483,71
751,15483,71
752,15483,71
753,15483,71
754,15483,71
755,15483,71
756,15483,71
757,15483,71
758,15483,71
759,15483,71
760,15483,71
761,15483,71
762,15483,71
763,15483,71
764,15483,71
765,15483,71
766,15483,71
767,15483,71
768,15483,71
769,15483,71
770,15483,71
771,15483,71
772,15483,71
773,15483,71
774,15483,71
775,15483,71
776,15483,71
777,15483,71
778,15483,71
779,15483,71
780,15483,71
781,15483,71
782,15483,71
783,15483,71
784,15483,71
785,15483,71
786,15483,71
787,15483,71
788,15483,71
789,15483,71
790,15483,71
791,15483,71
792,15483,71
793,15483,71
794,15483,71
795,15483,71
796,15483,71
797,15483,71
798,15483,71
799,15483,71
800,15483,71
801,15483,71
802,15483,71
803,15483,71
804,15483,71
805,15483,71
806,15483,71
807,15483,71
808,15483,71
809,15483,71
810,15483,71
811,15483,71
812,15483,71
813,15483,71
814,15483,71
815,15483,71
816,15483,71
817,15483,71
818,15483,71
819,15483,71
820,15483,71
821,15483,71
822,15483,71
823,15483,71
824,15483,71
825,15483,71
826,15483,71
827,15483,71
828,15483,71
829,15483,71
830,15483,71
831,15483,71
832,15483,71
833,15483,71
834,15483,71
835,15483,71
836,15483,71
837,15483,71
838,15483,71
839,15483,71
840,15483,71
841,15483,71
842,15483,71
843,15483,71
844,15483,71
845,15483,71
846,15483,71
847,15483,71
848,15483,71
849,15483,71
850,15483,71
851,15483,71
852,15483,71
853,15483,71
854,15483,71
855,15483,71
856,15483,71
857,15483,71
858,15483,71
859,15483,71
860,15483,71
861,15483,71
862,15483,71
863,15483,71
864,15483,71
865,15483,71
866,15483,71
867,15483,71
868,15483,71
869,15483,71
870,15483,71
871,15483,71
872,15483,71
873,15483,71
874,15483,71
875,15483,71
876,15483,71
877,15483,71
878,15483,71
879,15483,71
880,15483,71
881,15483,71
882,15483,71
883,15483,71
884,15483,71
885,15483,71
886,15483,71
887,15483,71
888,15483,71
889,15483,71
890,15483,71
891,15483,71
892,15483,71
893,15483,71
894,15483,71
895,15483,71
896,15483,71
897,15483,71
898,15483,71
899,15483,71
900,15483,71
901,15483,71
902,15483,71
903,15483,71
904,15483,71
905,15483,71
906,15483,71
907,15483,71
908,15483,71
909,15483,71
910,15483,71
911,15483,71
912,15483,71
913,15483,71
914,15483,71
915,15483,71
916,15483,71
917,15483,71
918,15483,71
919,15483,71
920,15483,71
921,15483,71
922,15483,71
923,15483,71
924,15483,71
925,15483,71
926,15483,71
927,15483,71
928,15483,71
929,15483,71
930,15483,71
931,15483,71
932,15483,71
933,15483,71
934,15483,71
935,15483,71
936,15483,71
937,15483,71
938,15483,71
939,15483,71
940,15483,71
941,15483,71
942,15483,71
943,15483,71
944,15483,71
945,15483,71
946,15483,71
947,15483,71
948,15483,71
949,15483,71
950,15483,71
951,15483,71
952,15483,71
953,15483,71
954,15483,71
955,15483,71
956,15483,71
957,15483,71
958,15483,71
959,15483,71
960,15483,71
961,15483,71
962,15483,71
963,15483,71
964,15483,71
965,15483,71
966,15483,71
967,15483,71
968,15483,71
969,15483,71
970,15483,71
971,15483,71
972,15483,71
973,15483,71
974,15483,71
975,15483,71
976,15483,71
977,15483,71
978,15483,71
979,15483,71
980,15483,71
981,15483,71
982,15483,71
983,15483,71
984,15483,71
985,15483,71
986,15483,71
987,15483,71
988,15483,71
989,15483,71
990,15483,71
991,15483,71
992,15483,71
993,15483,71
994,15483,71
995,15483,71
996,15483,71
997,15483,71
998,15483,71
999,15483,71
1000,15483,71
1001,15483,71
1002,15483,71
1003,15483,71
1004,15483,71
1005,15483,71
1006,15483,71
1007,15483,71
1008,15483,71
1009,15483,71
1010,15483,71
1011,15483,71
1012,15483,71
1013,15483,71
1014,15483,71
1015,15483,71
1016,15483,71
1017,15483,71
1018,15483,71
1019,15483,71
1020,15483,71
1021,15483,71
1022,15483,71
1023,15483,71
1024,15483,71
1025,15483,71
1026,15483,71
1027,15483,71
1028,15483,71
1029,15483,71
1030,15483,71
1031,15483,71
1032,15483,71
1033,15483,71
1034,15483,71
1035,15483,71
1036,15483,71
1037,15483,71
1038,15483,71
1039,15483,71
1040,15483,71
1041,15483,71
1042,15483,71
1043,15483,71
1044,15483,71
1045,15483,71
1046,15483,71
1047,15483,71
1048,15483,71
1049,15483,71
1050,15483,71
1051,15483,71
1052,15483,71
1053,15483,71
1054,15483,71
1055,15483,71
1056,15483,71
1057,15483,71
1058,15483,71
1059,15483,71
1060,15483,71
1061,15483,71
1062,15483,71
1063,15483,71
1064,15483,71
1065,15483,71
1066,15483,71
1067,15483,71
1068,15483,71
1069,15483,71
1070,15483,71
1071,15483,71
1072,15483,71
1073,15483,71
1074,15483,71
1075,15483,71
1076,15483,71
1077,15483,71
1078,15483,71
1079,15483,71
1080,15483,71
1081,15483,71
1082,15483,71
1083,15483,71
1084,15483,71
1085,15483,71
1086,15483,71
1087,15483,71
1088,15483,71
1089,15483,71
1090,15483,71
1091,15483,71
1092,15483,71
1093,15483,71
1094,15483,71
1095,15483,71
1096,15483,71
1097,15483,71
1098,15483,71
1099,15483,71
1100,15483,71
1101,15483,71
1102,15483,71
1103,15483,71
1104,15483,71
1105,15483,71
1106,15483,71
1107,15483,71
1108,15483,71
1109,15483,71
1110,15483,71
1111,15483,71
1112,15483,71
1113,15483,71
1114,15483,71
1115,15483,71
1116,15483,71
1117,15483,71
1118,15483,71
1119,15483,71
1120,15483,71
1121,15483,71
1122,15483,71
1123,15483,71
1124,15483,71
1125,15483,71
1126,15483,71
1127,15483,71
1128,15483,71
1129,15483,71
1130,15483,71
1131,15483,71
1132,15483,71
1133,15483,71
1134,15483,71
1135,15483,71
1136,15483,71
1137,15483,71
1138,15483,71
1139,15483,71
1140,15483,71
1141,15483,71
1142,15483,71
1143,15483,71
1144,15483,71
1145,15483,71
1146,15483,71
1147,15483,71
1148,15483,71
1149,15483,71
1150,15483,71
1151,15483,71
1152,15483,71
1153,15483,71
1154,15483,71
1155,15483,71
1156,15483,71
1157,15483,71
1158,15483,71
1159,15483,71
1160,15483,71
1161,15483,71
1162,15483,71
1163,15483,71
1164,15483,71
1165,15483,71
1166,15483,71
1167,15483,71
1168,15483,71
1169,15483,71
1170,15483,71
1171,15483,71
1172,15483,71
1173,15483,71
1174,15483,71
1175,15483,71
1176,15483,71
1177,15483,71
1178,15483,71
1179,15483,71
1180,15483,71
1181,15483,71
1182,15483,71
1183,15483,71
1184,15483,71
1185,15483,71
1186,15483,71
1187,15483,71
1188,15483,71
1189,15483,71
1190,15483,71
1191,15483,71
1192,15483,71
1193,15483,71
1194,15483,71
1195,15483,71
1196,15483,71
1197,15483,71
1198,15483,71
1199,15483,71
1200,15483,71
1201,15483,71
1202,15483,71
1203,15483,71
1204,15483,71
1205,15483,71
1206,15483,71
1207,15483,71
1208,15483,71
1209,15483,71
1210,15483,71
1211,15483,71
1212,15483,71
1213,15483,71
1214,15483,71
1215,15483,71
1216,15483,71
1217,15483,71
1218,15483,71
1219,15483,71
1220,15483,71
1221,15483,71
1222,15483,71
1223,15483,71
1224,15483,71
1225,15483,71
1226,15483,71
1227,15483,71
1228,15483,71
1229,15483,71
1230,15483,71
1231,15483,71
1232,15483,71
1233,15483,71
1234,15483,71
1235,15483,71
1236,15483,71
1237,15483,71
1238,15483,71
1239,15483,71
1240,15483,71
1241,15483,71
1242,15483,71
1243,15483,71
1244,15483,71
1245,15483,71
1246,15483,71
1247,15483,71
1248,15483,71
1249,15483,71
1250,15483,71
1251,15483,71
1252,15483,71
1253,15483,71
1254,15483,71
1255,15483,71
1256,15483,71
1257,15483,71
1258,15483,71
1259,15483,71
1260,15483,71
1261,15483,71
1262,15483,71
1263,15483,71
1264,15483,71
1265,15483,71
1266,15483,71
1267,15483,71
1268,15483,71
1269,15483,71
1270,15483,71
1271,15483,71
1272,15483,71
1273,15483,71
1274,15483,71
1275,15483,71
1276,15483,71
1277,15483,71
1278,15483,71
1279,15483,71
1280,15483,71
1281,15483,71
1282,15483,71
1283,15483,71
1284,15483,71
1285,15483,71
1286,15483,71
1287,15483,71
1288,15483,71
