total_iter,weights_sum,is_sat_clauses
0,8076,61
1,7405,63
2,7405,63
3,7405,63
4,7405,63
5,7405,63
6,7405,63
7,7405,63
8,7405,63
9,7405,63
10,7405,63
11,9014,64
12,9014,64
13,9014,64
14,9014,64
15,9014,64
16,9616,65
17,9616,65
18,8148,66
19,8819,67
20,8819,67
21,8819,67
22,8819,67
23,8819,67
24,8558,70
25,8558,70
26,8558,70
27,8555,71
28,9809,71
29,9809,71
30,9809,71
31,9809,71
32,9809,71
33,9809,71
34,9809,71
35,9809,71
36,9809,71
37,9809,71
38,9809,71
39,9809,71
40,9809,71
41,10300,71
42,10300,71
43,11088,71
44,11088,71
45,11088,71
46,11088,71
47,11088,71
48,11088,71
49,11088,71
50,11088,71
51,11088,71
52,11088,71
53,11088,71
54,11088,71
55,11088,71
56,11088,71
57,11088,71
58,11088,71
59,12595,71
60,12595,71
61,12595,71
62,12595,71
63,12595,71
64,12595,71
65,12595,71
66,12595,71
67,12595,71
68,12595,71
69,12595,71
70,12595,71
71,12595,71
72,12595,71
73,12595,71
74,12595,71
75,12595,71
76,12595,71
77,12595,71
78,12595,71
79,12595,71
80,12595,71
81,12595,71
82,12595,71
83,12595,71
84,12595,71
85,12595,71
86,12595,71
87,12595,71
88,12595,71
89,12595,71
90,12595,71
91,12595,71
92,12595,71
93,12595,71
94,12595,71
95,12595,71
96,12595,71
97,12595,71
98,12595,71
99,12595,71
100,12595,71
101,12595,71
102,12595,71
103,12595,71
104,12595,71
105,12595,71
106,12595,71
107,12595,71
108,12595,71
109,12595,71
110,12595,71
111,12595,71
112,12595,71
113,12595,71
114,12595,71
115,12595,71
116,12595,71
117,12595,71
118,12595,71
119,12595,71
120,12595,71
121,12595,71
122,12595,71
123,12595,71
124,12595,71
125,12595,71
126,12595,71
127,12595,71
128,12595,71
129,12595,71
130,12595,71
131,12595,71
132,12595,71
133,12595,71
134,12595,71
135,12595,71
136,12595,71
137,12595,71
138,12595,71
139,12595,71
140,12595,71
141,12595,71
142,12595,71
143,12595,71
144,12595,71
145,12595,71
146,12595,71
147,12595,71
148,12595,71
149,12595,71
150,12595,71
151,12595,71
152,12595,71
153,12595,71
154,12595,71
155,12595,71
156,12595,71
157,12595,71
158,12595,71
159,12595,71
160,12595,71
161,12595,71
162,12595,71
163,12595,71
164,12595,71
165,12595,71
166,12595,71
167,12595,71
168,12595,71
169,12595,71
170,12595,71
171,12595,71
172,12595,71
173,12595,71
174,12595,71
175,12595,71
176,12595,71
177,12595,71
178,13010,71
179,13010,71
180,14055,71
181,14055,71
182,14055,71
183,14055,71
184,14055,71
185,14055,71
186,14055,71
187,14642,71
188,14642,71
189,14642,71
190,14642,71
191,14642,71
192,14642,71
193,14642,71
194,14642,71
195,14642,71
196,14642,71
197,14642,71
198,14642,71
199,14642,71
200,14642,71
201,14642,71
202,14642,71
203,14642,71
204,14642,71
205,14642,71
206,14642,71
207,14642,71
208,14642,71
209,14642,71
210,14642,71
211,14642,71
212,14642,71
213,14642,71
214,14642,71
215,14642,71
216,14642,71
217,14642,71
218,14642,71
219,14642,71
220,14642,71
221,14642,71
222,14642,71
223,14642,71
224,14642,71
225,14642,71
226,14642,71
227,14642,71
228,14642,71
229,14642,71
230,14642,71
231,14642,71
232,14642,71
233,14812,71
234,14812,71
235,14812,71
236,14812,71
237,14812,71
238,14812,71
239,14812,71
240,14812,71
241,14812,71
242,14812,71
243,14812,71
244,14812,71
245,14812,71
246,14812,71
