total_iter,weights_sum,is_sat_clauses
0,8361,60
1,8440,60
2,9281,60
3,9281,60
4,7906,61
5,7906,61
6,7906,61
7,7226,63
8,7226,63
9,7147,65
10,7931,67
11,7931,67
12,8971,68
13,8971,68
14,8971,68
15,8971,68
16,8971,68
17,8971,68
18,8971,68
19,8971,68
20,8971,68
21,8971,68
22,8971,68
23,8971,68
24,8971,68
25,8971,68
26,8971,68
27,8971,68
28,8971,68
29,8971,68
30,8971,68
31,8971,68
32,8971,68
33,8971,68
34,8971,68
35,8971,68
36,8971,68
37,9597,68
38,9597,68
39,9597,68
40,9597,68
41,9597,68
42,9597,68
43,9597,68
44,11946,68
45,11946,68
46,11946,68
47,11162,69
48,11162,69
49,11162,69
50,11162,69
51,11162,69
52,11162,69
53,11162,69
54,11162,69
55,11162,69
56,11162,69
57,11162,69
58,11162,69
59,11162,69
60,11162,69
61,11162,69
62,11162,69
63,11162,69
64,11162,69
65,11162,69
66,11162,69
67,11162,69
68,11162,69
69,11162,69
70,11162,69
71,11162,69
72,11162,69
73,11162,69
74,11162,69
75,11162,69
76,11162,69
77,11162,69
78,11162,69
79,11162,69
80,11162,69
81,11162,69
82,11162,69
83,11162,69
84,11162,69
85,11162,69
86,11162,69
87,11162,69
88,11162,69
89,11162,69
90,11162,69
91,11162,69
92,11162,69
93,11162,69
94,11162,69
95,11162,69
96,11162,69
97,11162,69
98,11162,69
99,8417,70
100,8417,70
101,8417,70
102,8417,70
103,8417,70
104,7737,71
105,7737,71
106,7737,71
107,7737,71
108,7737,71
109,7737,71
110,7737,71
111,7737,71
112,7737,71
113,7737,71
114,7737,71
115,7737,71
116,7737,71
117,7737,71
118,7737,71
119,7737,71
120,7737,71
121,9809,71
122,9809,71
123,9809,71
124,10837,71
125,11350,71
126,11350,71
127,12138,71
128,13183,71
129,13183,71
130,13183,71
131,13183,71
132,13183,71
133,13183,71
134,13183,71
135,13183,71
136,13183,71
137,13545,71
138,13545,71
139,13545,71
140,13545,71
141,14216,71
142,14216,71
143,14216,71
144,14216,71
145,14216,71
146,14216,71
147,14216,71
148,14216,71
149,14216,71
150,14216,71
151,14216,71
152,14216,71
153,14216,71
154,14216,71
155,14216,71
156,14216,71
157,14216,71
158,14216,71
159,14216,71
160,14216,71
161,14216,71
162,14216,71
163,14216,71
164,14216,71
165,14216,71
166,14216,71
167,14216,71
168,14216,71
169,14216,71
170,14216,71
171,14216,71
172,14216,71
173,14216,71
174,14216,71
175,14216,71
176,14216,71
177,14216,71
178,14216,71
179,14216,71
180,14216,71
181,14216,71
182,14216,71
183,14216,71
184,14216,71
185,14216,71
186,14216,71
187,14438,71
188,14438,71
189,14438,71
190,14438,71
191,14438,71
192,14438,71
193,14438,71
194,14438,71
195,14438,71
196,14438,71
197,14438,71
198,14438,71
199,14438,71
200,14438,71
201,14438,71
202,14438,71
203,14438,71
204,14438,71
205,14438,71
206,14438,71
207,14438,71
208,14438,71
209,14438,71
210,14438,71
211,14438,71
212,14438,71
213,14438,71
214,14438,71
215,14438,71
216,14438,71
217,14438,71
218,14438,71
219,14438,71
220,14438,71
221,14438,71
222,14438,71
223,14438,71
224,14438,71
225,14438,71
226,14438,71
227,14438,71
228,14438,71
229,14438,71
230,14438,71
231,14438,71
232,14438,71
233,14438,71
234,14438,71
235,14438,71
236,14438,71
237,14438,71
238,14438,71
239,14438,71
240,14438,71
241,14438,71
242,14438,71
243,14438,71
244,14438,71
245,14438,71
246,14438,71
247,14438,71
248,14438,71
249,14438,71
250,14438,71
251,14438,71
252,14438,71
253,14438,71
254,14438,71
255,14438,71
256,14438,71
257,14438,71
258,14438,71
259,14438,71
260,14438,71
261,14438,71
262,14438,71
263,14438,71
264,14438,71
265,14438,71
266,14438,71
267,14438,71
268,14438,71
269,14438,71
270,14438,71
271,14438,71
272,14438,71
273,14438,71
274,14438,71
275,14438,71
276,14438,71
277,14438,71
278,14438,71
279,14438,71
280,14438,71
281,14438,71
282,14438,71
283,14438,71
284,14438,71
285,14438,71
286,14438,71
287,14438,71
288,14438,71
289,14438,71
290,14438,71
291,14438,71
292,14438,71
293,14438,71
294,14438,71
295,14438,71
296,14438,71
297,14438,71
298,14438,71
299,14438,71
