inst,succ,steps,max_iter,awg fined,mu,sig^2
ruf50-835,996.0,346.589,3000,454.589,5.3461388292305365,0.9643132599337144
ruf50-366,966.0,756.745,3000,1674.745,6.086692286354183,1.3001670447432423
ruf50-816,990.0,598.028,3000,868.028,5.836155371378043,1.2520201352774727
ruf50-877,860.0,1242.468,3000,5022.468,6.664627920655828,1.2217100847663065
ruf50-776,976.0,726.81,3000,1374.81,6.038611988970982,1.3816438425034623
ruf50-487,1000.0,292.463,3000,292.463,5.212291313475779,0.9991469497558085
ruf50-766,462.0,2124.361,3000,16650.361,7.2988274827735395,1.2962056617436322
ruf50-995,996.0,443.771,3000,551.771,5.518628620015266,1.2718608065710828
ruf50-127,849.0,1040.901,3000,5117.901,6.25373331367654,1.7171348198035195
ruf50-736,675.0,1688.068,3000,10463.068,6.956642972779857,1.5077193692274182
ruf50-404,992.0,601.856,3000,817.856,5.930457228845742,1.124647269254623
ruf50-342,991.0,559.367,3000,802.367,5.733980940347395,1.3461765810626434
ruf50-591,741.0,1522.223,3000,8515.223,6.812382739653809,1.5295616717333207
ruf50-359,996.0,458.649,3000,566.649,5.662786787256623,1.0100378605307623
ruf50-917,820.0,1148.53,3000,6008.53,6.444137525262734,1.5233330603540425
ruf50-386,978.0,364.246,3000,958.246,5.147862943143963,1.3387035144403658
ruf50-285,948.0,698.605,3000,2102.605,5.717004756335189,1.9435899747081102
ruf50-867,983.0,662.083,3000,1121.083,5.924616744093269,1.3140184255680045
ruf50-672,997.0,409.938,3000,490.938,5.524313196159392,1.0558278143028754
ruf50-728,861.0,1016.368,3000,4769.368,6.280437359920237,1.6135002804745064
ruf50-45,995.0,311.931,3000,446.931,5.0710377490655745,1.2616647103008976
ruf50-465,996.0,403.053,3000,511.053,5.466090313210142,1.135646502737479
ruf50-488,594.0,1868.133,3000,12830.133,7.150099862720567,1.1775739321285583
ruf50-282,324.0,2383.328,3000,20635.328,7.483155708966828,1.1248943098152417
ruf50-722,777.0,1444.201,3000,7465.201,6.8081916751183496,1.3165950036254388
ruf50-996,951.0,817.946,3000,2140.946,6.126278608010773,1.3837906928124377
ruf50-417,925.0,997.925,3000,3022.925,6.450581627439823,1.1275692417601055
ruf50-372,769.0,1421.404,3000,7658.404,6.709568639745888,1.5555733329055315
ruf50-318,979.0,516.621,3000,1083.621,5.488110190596077,1.549626230358938
ruf50-140,795.0,1285.627,3000,6820.627,6.644633510906846,1.3414930633330995
ruf50-32,973.0,599.23,3000,1328.23,5.8382845607148095,1.2124439447928677
ruf50-584,780.0,1557.58,3000,7497.58,6.950029135870144,1.1693913828037974
ruf50-868,1000.0,140.68,3000,140.68,4.5309312826477965,0.7719995846539497
ruf50-254,823.0,1434.763,3000,6213.763,6.862729764382257,1.1624161665519679
ruf50-408,997.0,399.21,3000,480.21,5.527837148189887,0.938770199513973
ruf50-947,776.0,1151.978,3000,7199.978,6.385495667401785,1.6292046159602294
ruf50-912,926.0,804.504,3000,2802.504,6.0144484823955535,1.552689302505827
ruf50-906,678.0,1618.716,3000,10312.716,6.85086740150524,1.6624239589341785
ruf50-726,657.0,1826.504,3000,11087.504,7.142592827687989,1.1650282092321793
ruf50-650,962.0,644.824,3000,1670.824,5.718887418811822,1.7231434096870397
ruf50-561,993.0,324.645,3000,513.645,5.0990200039018045,1.153236675219444
ruf50-622,999.0,177.699,3000,204.699,4.444772644291085,1.1644927265341334
ruf50-944,896.0,1120.31,3000,3928.31,6.5397263334407425,1.1938483139042593
