inst,succ,steps,max_iter,awg fined,mu,sig^2
ruf75-525,992.0,601.319,3000,817.319,6.013526289916135,0.8156115238079289
ruf75-119,608.0,1893.656,3000,12477.656,7.2262643276966685,0.9226408338023523
ruf75-645,1000.0,463.605,3000,463.605,5.8136380176467375,0.676964356379352
ruf75-4,863.0,1370.254,3000,5069.254,6.918382837559957,0.742993172526997
ruf75-679,988.0,689.991,3000,1013.991,6.167844298237162,0.7893137754247054
ruf75-949,999.0,559.015,3000,586.015,6.0287751048558125,0.6203300601786412
ruf75-543,430.0,2191.295,3000,17581.295,7.441754405768489,0.7677999968176954
ruf75-324,995.0,548.035,3000,683.035,5.971013805196385,0.6785996538902176
ruf75-281,940.0,1098.871,3000,2718.871,6.71210257421415,0.6678439422794725
ruf75-819,1000.0,453.713,3000,453.713,5.815009462895616,0.6259578447007459
ruf75-95,787.0,1509.866,3000,7260.866,6.984974141131062,0.8432941066384377
ruf75-913,431.0,2311.009,3000,17674.009,7.5542513282716675,0.610466821012053
ruf75-380,998.0,524.182,3000,578.182,5.934585153197898,0.6920485865499669
ruf75-618,930.0,1001.197,3000,2891.197,6.518508757378025,0.8973597205563608
ruf75-46,922.0,1130.369,3000,3236.369,6.6936839792316185,0.7566546828772637
ruf75-230,905.0,1278.315,3000,3843.315,6.816097064053236,0.8503605232545525
ruf75-633,952.0,1053.2,3000,2349.2,6.645306753903248,0.7106982840076781
ruf75-947,1000.0,397.952,3000,397.952,5.7096301408251495,0.5913482536932544
ruf75-105,892.0,1055.665,3000,3971.665,6.466444191365204,1.1451750943985195
ruf75-692,928.0,1211.038,3000,3155.038,6.786754556651716,0.7559673925214656
ruf75-169,844.0,1317.01,3000,5529.01,6.809936215060276,0.9128158467414194
ruf75-484,854.0,1393.421,3000,5335.421,6.879708564103016,0.9290303979823951
ruf75-596,1000.0,222.16,3000,222.16,5.181152711645834,0.43766411573428066
ruf75-278,263.0,2553.087,3000,22452.087,7.707207943583617,0.4484789341189567
ruf75-135,820.0,1326.244,3000,6186.244,6.738080303391845,1.134103160739516
ruf75-673,786.0,1627.309,3000,7405.309,7.107103993070227,0.7754319559926734
ruf75-655,810.0,1493.904,3000,6623.904,6.962813778712171,0.9077230834864467
ruf75-685,799.0,1362.345,3000,6789.345,6.74377189828659,1.2192614012156928
ruf75-568,995.0,535.292,3000,670.292,5.90602557452154,0.805045855986167
ruf75-564,947.0,1007.899,3000,2438.899,6.5615652550098895,0.819148150003612
ruf75-654,855.0,1305.332,3000,5220.332,6.799830815590155,0.9153811521483572
ruf75-282,1000.0,349.728,3000,349.728,5.534484840580278,0.6372160385568039
ruf75-83,956.0,889.742,3000,2077.742,6.346695208308471,0.9994215920730318
ruf75-665,865.0,1379.304,3000,5024.304,6.931576135431592,0.7271149363135934
ruf75-720,715.0,1720.353,3000,9415.353,7.147704654451057,0.8139669150495079
ruf75-395,660.0,1813.843,3000,10993.843,7.19507955493825,0.8701990663396141
ruf75-736,999.0,487.018,3000,514.018,5.834016909449393,0.7507372539879041
ruf75-767,887.0,1198.754,3000,4249.754,6.6468380267419045,1.1037670273829305
ruf75-91,952.0,860.972,3000,2156.972,6.3500032035827765,0.874880125735471
ruf75-445,998.0,262.043,3000,316.043,5.241490786628214,0.5865183113191467
ruf75-306,980.0,760.006,3000,1300.006,6.30584941580638,0.6868502176533028
ruf75-187,597.0,1974.949,3000,12855.949,7.328795088665323,0.7449698629293451
ruf75-457,964.0,687.14,3000,1659.14,6.0162985672700735,1.0400361361331767
ruf75-35,1000.0,356.447,3000,356.447,5.52602353960907,0.6953418125348243
ruf75-861,514.0,2014.987,3000,15136.987,7.290701640892274,0.9628194391425556
ruf75-137,327.0,2443.644,3000,20614.644,7.6237455633056745,0.5875075582074507
ruf75-330,904.0,1135.367,3000,3727.367,6.652947496105066,0.9056150732310492
ruf75-640,919.0,1101.612,3000,3288.612,6.5796052219008665,1.038633335791151
ruf75-540,998.0,546.062,3000,600.062,5.984035156572346,0.6675479059813241
ruf75-948,997.0,297.832,3000,378.832,5.315933657726696,0.6691957313624879
ruf75-414,997.0,610.014,3000,691.014,6.133837625713557,0.5936742012485319
