inst,succ,steps,max_iter,awg fined,mu,sig^2
ruf75-525,882.0,1111.734,3000,4297.734,6.5323603726098085,1.1635569264659158
ruf75-119,306.0,2422.063,3000,21160.063,7.5823587279144515,0.7043201127233301
ruf75-645,911.0,1004.402,3000,3407.402,6.417632599244432,1.1779789474145304
ruf75-4,602.0,1980.318,3000,12726.318,7.3410465578517075,0.7154110670812386
ruf75-679,904.0,1039.179,3000,3631.179,6.520134468299578,0.9765915624484498
ruf75-949,943.0,975.328,3000,2514.328,6.4937044352829245,0.8948758405210075
ruf75-543,284.0,2477.267,3000,21809.267,7.642602905355362,0.5707304541547258
ruf75-324,861.0,1015.681,3000,4768.681,6.43566128745646,1.0881551409707004
ruf75-281,697.0,1779.014,3000,9960.014,7.204183998081863,0.7689156807686804
ruf75-819,932.0,878.325,3000,2714.325,6.251464076994606,1.1909005949635205
ruf75-95,613.0,1871.562,3000,12320.562,7.213727499479907,0.9129191351545161
ruf75-913,330.0,2469.645,3000,20559.645,7.6579562312181,0.49951154851209184
ruf75-380,957.0,894.377,3000,2055.377,6.3464129732689445,1.0365556589720062
ruf75-618,643.0,1720.006,3000,11359.006,7.070207474581021,1.0702318047275026
ruf75-46,604.0,1848.016,3000,12540.016,7.2060304472190095,0.884742097308639
ruf75-230,680.0,1840.532,3000,10480.532,7.249068245319008,0.7807250793441547
ruf75-633,664.0,1781.948,3000,10853.948,7.195675442645281,0.7775643090260551
ruf75-947,961.0,727.36,3000,1780.36,6.080240634888047,1.096295992539442
ruf75-105,699.0,1524.336,3000,9651.336,6.866227501253113,1.228049473386389
ruf75-692,533.0,2050.577,3000,14659.577,7.342431814449556,0.8558682087126923
ruf75-169,473.0,2111.739,3000,16340.739,7.3641856563403865,0.9094881996970309
ruf75-484,572.0,1952.788,3000,13508.788,7.256418516220204,0.9715450812639325
ruf75-596,1000.0,313.28,3000,313.28,5.3889340113626485,0.7073783553969051
ruf75-278,103.0,2786.76,3000,27005.76,7.848404120724672,0.30221560516573615
ruf75-135,581.0,1745.581,3000,13058.581,7.030327625987741,1.2102692270717137
ruf75-673,392.0,2385.001,3000,18801.001,7.609607705277856,0.5380595803002455
ruf75-655,510.0,2071.088,3000,15301.088,7.355158894791897,0.8451924692470875
ruf75-685,464.0,2021.829,3000,16493.829,7.22689787310761,1.1953366402711325
ruf75-568,883.0,1122.171,3000,4281.171,6.536120649340342,1.1869857306732254
ruf75-564,679.0,1707.954,3000,10374.954,7.068123578205874,1.0829267001701353
ruf75-654,511.0,2045.164,3000,15248.164,7.327046520990242,0.905405548315602
ruf75-282,918.0,807.568,3000,3021.568,6.042341243375245,1.39717925546487
ruf75-83,802.0,1344.736,3000,6690.736,6.740727882268214,1.2021452920090112
ruf75-665,601.0,1922.231,3000,12695.231,7.285005626606108,0.7718143093583065
ruf75-720,447.0,2228.051,3000,17159.051,7.489156089661,0.6786752873387406
ruf75-395,322.0,2398.926,3000,20704.926,7.556206198053992,0.7678527320102801
ruf75-736,953.0,854.578,3000,2123.578,6.234066374409232,1.2135881329078773
ruf75-767,575.0,1864.176,3000,13339.176,7.13811598875556,1.179571365962735
ruf75-91,778.0,1419.17,3000,7413.17,6.8421253200906405,1.0571572832093752
ruf75-445,978.0,475.968,3000,1069.968,5.616036770735105,1.0392226780666232
ruf75-306,799.0,1410.789,3000,6837.789,6.84863039824069,1.027053735364315
ruf75-187,295.0,2486.004,3000,21521.004,7.648003893955473,0.5806584036505437
ruf75-457,782.0,1247.477,3000,7133.477,6.564942558047689,1.4020023261606163
ruf75-35,957.0,694.261,3000,1855.261,5.96457337299179,1.2217711952418082
ruf75-861,351.0,2341.853,3000,19864.853,7.523424555460255,0.7923983138614182
ruf75-137,166.0,2706.261,3000,25224.261,7.789066808981288,0.42655158450757397
ruf75-330,630.0,1722.177,3000,11712.177,7.035159699374361,1.1827367435080052
ruf75-640,647.0,1749.928,3000,11280.928,7.042981815443016,1.2552685735407212
ruf75-540,928.0,1002.12,3000,2946.12,6.492922166235838,0.9495252359382448
ruf75-948,938.0,599.534,3000,2273.534,5.728285771462366,1.2668033900652365
